fy,PlanName,StateName,ActLiabilities_GASB,MktAssets_net,InvestmentReturnAssumption_GASB,InvestmentReturn_1yr,payroll,PayrollGrowthAssumption,NormCostRate_tot,ReqContRate_tot,expense_TotBenefits
2001.00,Arizona EORP,Arizona,250987.00,326159.46,,,,,,,
2002.00,Arizona EORP,Arizona,279947.00,265566.71,,,,,,,
2003.00,Arizona EORP,Arizona,297892.00,269610.60,,,,,,,
2004.00,Arizona EORP,Arizona,328921.00,295932.09,,,,,,,
2005.00,Arizona EORP,Arizona,360758.00,311203.37,,,,,,,
2006.00,Arizona EORP,Arizona,391403.00,327151.92,,,,,,,
2007.00,Arizona EORP,Arizona,451299.00,369840.65,,,,,,,
2008.00,Arizona EORP,Arizona,454340.00,332065.25,,,,,,,
2009.00,Arizona EORP,Arizona,506190.63,258333.11,,,,,,,
2010.00,Arizona EORP,Arizona,535770.58,279543.82,,,,,,,
2011.00,Arizona EORP,Arizona,590321.51,315016.66,,,,,,,
2012.00,Arizona EORP,Arizona,610228.77,296954.98,,,,,,,
2013.00,Arizona EORP,Arizona,620890.50,292528.32,,,,,,,
2014.00,Arizona EORP,Arizona,796245.54,314304.31,,,,,,,
2015.00,Arizona EORP,Arizona,813450.36,308668.42,,,,,,,
2016.00,Arizona EORP,Arizona,837478.37,288995.00,,,,,,,
2017.00,Arizona EORP,Arizona,1011953.52,298118.14,,,,,,,
2018.00,Arizona EORP,Arizona,904884.33,274746.49,0.07,,,,,,
2019.00,Arizona EORP,Arizona,949242.00,286064.80,0.07,0.05,70701.95,0.04,0.27,0.68,-65124.06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
