"","year","plan_name","state","return_1yr","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"1","2001","Alabama Employees' Retirement System (ERS)","Alabama","-0.0636","Entry Age Normal","1.002","8028471000","7236735000","8010123000",NA,"122483000","1.0",NA,NA,"Level Percent Open","-396621000","378196060","-1544000","-4578000",NA,"2408543000","130965000","0.0501","122483000",NA,"65159000","0.0455","1273000",NA,NA,NA,"0.08",NA,"12.0","0.045","-0.0044","254721000","0.1",NA,NA,"Plan covers state and local employees","-18348000",NA
"2","2002","Alabama Employees' Retirement System (ERS)","Alabama","-0.0929","Entry Age Normal","0.954","8100846000","6424435000","8493469000",NA,"123887000","1.0",NA,NA,"Level Percent Open","-414821000","411556940","-8388000","-5582000",NA,"2547775000","149130000","0.0501","123887000",NA,"64421000","0.0632","2091000",NA,NA,NA,"0.08",NA,"18.0","0.045","0.0145","275108000","0.0988",NA,NA,"Plan covers state and local employees","392623000",NA
"3","2003","Alabama Employees' Retirement System (ERS)","Alabama","0.1648","Entry Age Normal","0.911","8312500000","7222812000","9124279000",NA,"154218000","1.0",NA,NA,"Level Percent Open","-448083000","454751060","-820000","-5843000",NA,"2677025000","159763000","0.0501","154218000",NA,"80193000","0.0523","2521000",NA,NA,NA,"0.08",NA,"19.0",NA,"0.0151","316502000","0.0873",NA,NA,"Plan covers state and local employees","811779000",NA
"4","2004","Alabama Employees' Retirement System (ERS)","Alabama","0.1006","Entry Age Normal","0.897","8563945000","7795598000","9546478000",NA,"170713000","1.0",NA,NA,"Level Percent Open","-480064000","497945220","-3798000","-5892000",NA,"2702393000","166973000","0.0501","170713000",NA,"80193000","0.0767","1575000",NA,NA,NA,"0.08",NA,"19.0","0.045","0.028","339261000","0.0988",NA,NA,"Plan covers state and local employees","982533000",NA
"5","2005","Alabama Employees' Retirement System (ERS)","Alabama","0.1098","Entry Age Normal","0.84","8935358000","8464515000","10634976000",NA,"195846000","1.0",NA,NA,"Level Percent Open","-518308000","539462060","35204000","-6898000",NA,"2982122000","158128000","0.0501","195846000",NA,"88770000","0.0922","2185000",NA,NA,NA,"0.08",NA,"19.0","0.045","0.0441","356159000","0.0982",NA,NA,"Plan covers state and local employees","1699618000",NA
"6","2006","Alabama Employees' Retirement System (ERS)","Alabama","0.0837","Entry Age Normal","0.811","9287531000","9001867000","11457564000",NA,"241750000","1.0",NA,NA,"Level Percent Open","-583573000","615907940","30960000","-7850000",NA,"3070146000","184144000","0.0501","241750000",NA,"101881000","0.1021","2982000",NA,NA,NA,"0.08",NA,"19.0","0.045","0.0516","428876000","0.1006",NA,NA,"Plan covers state and local employees","2170033000",NA
"7","2007","Alabama Employees' Retirement System (ERS)","Alabama","0.1792","Entry Age Normal","0.79","9770897000","10401218000","12370342000",NA,"277254000","1.0",NA,NA,"Level Percent Open","-647490000","650343500","31829000","-7813000",NA,"3389156000","181734000","0.0501","277254000",NA,"144165000","0.1052","2406000",NA,NA,NA,"0.08",NA,"19.0","0.045","0.0551","461394000","0.1002",NA,NA,"Plan covers state and local employees","2599445000",NA
"8","2008","Alabama Employees' Retirement System (ERS)","Alabama","-0.1521","Entry Age Normal","0.757","9905766000","8647705000","13078687000",NA,"329339000","1.0",NA,NA,"Level Percent Open","-686854000","690034940","31387000","-9892000",NA,"3553330000","189785000","0.0501","329339000",NA,"171248000","0.1127","1869000",NA,NA,NA,"0.08",NA,"19.0","0.045","0.0623","520993000","0.1005",NA,NA,"Plan covers state and local employees","3172921000",NA
"9","2009","Alabama Employees' Retirement System (ERS)","Alabama","-0.1003","Entry Age Normal","0.722","9928104000","7679005000","13756176000",NA,"451139000","1.0",NA,NA,"Level Percent Open","-728070000","734599880","-14000","-9413000",NA,"3620243000","208446000","0.0501","451139000",NA,"176163000","0.0824","1835000",NA,NA,NA,"0.08",NA,"27.0","0.045","0.0441","661420000","0.0884",NA,NA,"Plan covers state and local employees","3828072000",NA
"10","2010","Alabama Employees' Retirement System (ERS)","Alabama","0.0847","Entry Age Normal","0.682","9739331000","8176732000","14284119000",NA,"377898000","1.0",NA,NA,"Level Percent Open","-759528000","778328440","24874000","-10334000",NA,"3619670000","194968000","0.0502","377898000",NA,"147593000","0.0795","1790000",NA,NA,NA,"0.08",NA,"29.0","0.045","0.0491","574656000","0.0806",NA,NA,"Plan covers state and local employees","4544788000",NA
