FYE,Assumption,6% Constant,Recession,Recurring Recession
2019,0,0,0,0
2020,0,0,0,0
2021,0.0857,0.0857,0.0857,0.0857
2022,0.0887,0.0887,0.0887,0.0887
2023,0.0919,0.087506479,0.087506479,0.087506479
2024,0.095,0.082998644,0.116081729,0.116081729
2025,0.0956,0.082342914,0.12225577,0.12225577
2026,0.0956,0.082420703,0.126761124,0.126761124
2027,0.0956,0.083041901,0.128389445,0.128389445
2028,0.0956,0.084216156,0.130421486,0.130421486
2029,0.0956,0.086045629,0.131037369,0.131037369
2030,0.0956,0.088424947,0.132114487,0.132114487
2031,0.0956,0.090932021,0.13365669,0.13365669
2032,0.0956,0.093493114,0.135661652,0.135661652
2033,0.0956,0.096084977,0.137721881,0.137721881
2034,0.0956,0.098690636,0.139838508,0.139838508
2035,0.0956,0.101399596,0.142093629,0.142093629
2036,0.0956,0.104007905,0.144274381,0.144274381
2037,0.0956,0.106713083,0.146573141,0.146573141
2038,0.0956,0.109413202,0.148887538,0.148887538
2039,0.0956,0.112106622,0.151215565,0.188801152
2040,0.027086489,0.114791802,0.153555614,0.194465847
2041,0.026888357,0.117467177,0.155906268,0.198642741
2042,0.026689718,0.120131125,0.158266162,0.200254847
2043,0.026590561,0.12288194,0.160733892,0.20232677
2044,0.026490881,0.125617824,0.163207999,0.203043196
2045,0.026290684,0.128236886,0.165586965,0.204070612
2046,0.026190407,0.130937137,0.168069201,0.205612277
2047,0.026090074,0.133616463,0.170553026,0.207565824
2048,0.025989703,0.136272646,0.173036681,0.209567498
2049,0.025889309,0.138903344,0.175518313,0.211617727
2050,0.0257889,0.141506078,0.177995966,0.213699757
2051,0.025688477,0.144078234,0.180467579,0.215801184
2052,0.025588042,0.146617054,0.182930984,0.217914155
