FYE,Assumption,6% Constant,Recession,Recurring Recession
2019,0,0,0,0
2020,0,0,0,0
2021,26439.63463,26439.63463,26439.63463,26439.63463
2022,39175.22876,39175.22876,39175.22876,39175.22876
2023,38165.6463,40496.99427,99938.45519,99938.45519
2024,36765.84363,41578.36439,96600.70157,96600.70157
2025,35223.02982,42673.41701,92754.20742,92754.20742
2026,33561.46304,43811.8441,88392.82211,88392.82211
2027,31774.94917,44992.94419,91186.33294,91186.33294
2028,29856.99033,46215.94104,94080.05842,94080.05842
2029,27806.22325,47485.3971,97080.67024,97080.67024
2030,25615.83605,48800.66292,100189.7045,100189.7045
2031,23278.68384,50161.07943,103408.7667,103408.7667
2032,20787.27258,51566.06579,106739.6225,106739.6225
2033,18133.74215,53014.94115,110184.0224,110184.0224
2034,15309.8486,54506.7795,113743.5597,113743.5597
2035,12312.62647,56046.10977,117425.3737,117425.3737
2036,9127.640336,57626.16767,121225.4049,121225.4049
2037,5751.15389,59251.06466,125150.5676,125150.5676
2038,2173.566344,60919.22401,129202.1889,176350.2034
2039,-1615.190474,62628.77708,133381.4094,177251.6796
2040,-1598.503915,64377.53949,137689.1624,178144.0198
2041,-1580.471541,66162.98572,142126.1531,179036.9037
2042,-1560.995077,67982.22205,146692.8354,184938.5789
2043,-1539.970248,69837.95726,151395.3865,191024.4072
2044,-1517.286734,71726.84558,156234.0548,197296.3832
2045,-1492.828505,73639.01822,161202.6954,203750.1715
2046,-1466.500164,75575.95923,166306.6511,210392.99
2047,-1438.202895,77532.87953,171545.1312,217225.9906
2048,-1407.834227,79504.44054,176916.9398,224249.9906
2049,-1375.287508,81484.71372,182420.4412,231465.4401
2050,-1340.451344,83467.1376,188053.5219,238872.3869
2051,-1303.209047,85444.4722,193813.5507,246470.4392
2052,-1263.438288,87408.75057,199697.3364,254258.7261
