year,cash,Total Equity,fixed.income,equity,alternatives,total
2001,0.006,0.567,0.263,0,0.164,1
2002,0.013,0.548,0.287,0,0.152,1
2003,0.01,0.58,0.26,0,0.15,1
2004,0.01,0.59,0.26,0,0.14,1
2005,0.01,0.58,0.27,0,0.14,1
2006,0,0.538,0.261,0.028,0.173,1
2007,0,0.5734,0.2204,0,0.2064,1
2008,0,0.288,0.183,0.136,0.39,1
2009,0,0.2837,0.2018,0.1518,0.3627,1
2010,0,0.297,0.1936,0.1599,0.3496,1
2011,0,0.293,0.172,0.176,0.359,1
2012,0,0.277,0.155,0.235,0.333,1
2013,0,0.31,0.155,0.19,0.345,1
2014,0.008,0.294,0.151,0.205,0.342,1
2015,0.0273,0.2828,0.1386,0.1534,0.3979,1
2016,0.142,0.127,0.122,0.116,0.493,1
2017,0.055,0.298,0.162,0.105,0.38,1
2018,0.024,0.218,0.262,0.153,0.343,1
2019,0.044,0.276,0.275,0.13,0.275,1
