"year","state","plan_name","investment_experience_dollar","age_of_retirement_experience_dollar","disability_claim_experience_active_dollar","disability_claim_experience_inactive_dollar","disability_claim_experience_retired_dollar","disability_claim_experience_total_dollar","mortality_rate_experience_active_dollar","mortality_rate_experience_inactive_dollar","mortality_rate_experience_retired_dollar","mortality_rate_experience_total_dollar","survival_claim_experience_active_dollar","survival_claim_experience_inactive_dollar","survival_claim_experience_retired_dollar","survival_claim_experience_total_dollar","withdrawal_experience_dollar","salary_experience_dollar","payroll_experience_dollar","new_entrant_experience_dollar","rehire_experiennce_dollar","other_actuarial_experience_dollar","interest_smoothing_dollar","non_investment_actuarial_experience_dollar","legislative_changes_dollar","changes_to_methods_assumptions_dollar","other_interest_dollar","gain_or_loss_due_to_changes_in_benefits","gain_or_loss_due_to_changes_in_COLA_provisions","gain_or_loss_due_to_changes_in_pbi_provisions","gain_or_loss_due_to_changes_in_normal_cost_prior_year","gain_or_loss_due_to_changes_in_other_interest","contribution_deficiency_dollar","net_amo","total"
2001,"Texas","Dallas Police and Fire",-80478698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19054052,0,68916831,0,0,0,0,0,0,-4275669,-2463021,753495
2002,"Texas","Dallas Police and Fire",24734505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58934155,0,2070437,0,0,0,0,0,0,-11520202,-1724811,72494084
2003,"Texas","Dallas Police and Fire",353376156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36722127,0,-37810635,0,0,0,0,0,0,-3385227,1372749,350275170
2004,"Texas","Dallas Police and Fire",-126465079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46164368,0,0,0,0,0,0,0,0,2133535,27900448,-142595464
2005,"Texas","Dallas Police and Fire",94349639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9594749,0,-109705919,0,0,0,0,0,0,-6447992,17271627,-14127394
2006,"Texas","Dallas Police and Fire",-11454491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2943114,0,0,0,0,0,0,0,0,-4898135,12326969,-6968771
2007,"Texas","Dallas Police and Fire",-48952374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53883152,0,-78151297,0,0,0,0,0,0,-3332604,10313660,-174005767
2008,"Texas","Dallas Police and Fire",-61561042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4603053,0,43948292,0,0,0,0,0,0,-3995680,3224381,-22987102
2009,"Texas","Dallas Police and Fire",475696129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17983314,0,0,0,0,0,0,0,0,-4403378,28116,453337553
2010,"Texas","Dallas Police and Fire",-114542724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9580673,0,0,0,0,0,0,0,0,1099372,34975612,-88048413
2011,"Texas","Dallas Police and Fire",195411856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39248981,0,-48838083,0,0,0,0,0,0,7833885,19990718,135149395
2012,"Texas","Dallas Police and Fire",274215083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44273801,0,32211093,0,0,0,0,0,0,13994494,28692037,304838906
2013,"Texas","Dallas Police and Fire",273916724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25182191,0,-483872726,0,0,0,0,0,0,7918055,49667438,-127188318
2014,"Texas","Dallas Police and Fire",149448973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700508,0,0,0,0,0,0,0,0,10040886,27503212,188693579
2015,"Texas","Dallas Police and Fire",185848558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36702434,0,-184979074,0,0,0,0,0,0,15583051,33519641,13269742
2016,"Texas","Dallas Police and Fire",597354954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59238981,0,0,0,520361755,0,0,0,0,0,0,66761817,44868001,1170107546
2017,"Texas","Dallas Police and Fire",1990867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53565950,0,0,0,-1295691677,0,0,0,0,0,0,148779134,33686755,-1057668971
2018,"Texas","Dallas Police and Fire",12998539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51705978,0,0,0,11751471,0,0,0,0,0,0,0,295953691,372409679
2019,"Texas","Dallas Police and Fire",37057201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59106115,0,0,0,-30692593,0,0,0,0,0,0,0,303337466,250595959
2020,"Texas","Dallas Police and Fire",46268886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13622673,0,0,0,152342541,0,0,0,0,0,0,0,329844730,542078830
