year,investments,negative_amortization,changes_methods_assumptions,benefit_changes,demographic_assumptions,pay_increase_assumption,net_change_uaal
2001,-100,-49,-32,0,208,0,27
2002,347,-35,0,0,190,0,501
2003,595,17,66,0,-82,0,596
2004,535,58,0,0,98,0,691
2005,514,115,213,0,-146,0,695
2006,122,161,0,0,205,0,488
2007,-275,160,0,0,92,0,-24
2008,-111,131,0,0,75,0,96
2009,535,114,0,214,-41,0,823
2010,561,132,0,0,-288,0,405
2011,359,170,426,0,-226,0,729
2012,524,256,0,0,-200,0,580
2013,207,291,-82,14,-107,-21,303
2014,-409,212,0,0,-33,-47,-277
2015,-205,134,349,0,54,-47,286
2016,123,158,0,0,-55,-138,89
2017,-54,167,823,0,-136,-68,732
2018,-26,214,0,0,-64,-25,99
2019,84,193,0,-1,192,-26,443
2020,191,166,428,0,349,-34,1100
