plan,plan2,state,fye,2022_return,arr,mva_billions,mva_billions_21,source
Alabama Employees' Retirement System (ERS),Alabama Employees' Retirement System (ERS),Alabama,30-Sep-21,,0.077,,,
Alabama Teachers' Retirement System (TRS),Alabama Teachers' Retirement System (TRS),Alabama,30-Sep-21,,0.077,,,
Alaska Public Employees Retirement System (PERS)*,Alaska Public Employees Retirement System,Alaska,30-Jun-21,,0.0738,,24.24678909,https://treasury.dor.alaska.gov/Portals/3/docs/Investment%20Results/Investment%20Performance%2006.30.21.pdf
Alaska Teachers Retirement System (TRS)*,Alaska Teachers Retirement System,Alaska,30-Jun-21,,0.0738,,11.36748563,https://treasury.dor.alaska.gov/Portals/3/docs/Investment%20Results/Investment%20Performance%2006.30.21.pdf
Arizona Corrections Officers Retirement Plan (CORP)*,Arizona Corrections Officers Retirement Plan,Arizona,30-Jun-21,,0.073,,3.4,https://www.psprs.com/uploads/sites/1/4551_Oct2021_PSPRS_ValuationResults_FINAL_P.pdf
Arizona Public Safety Personnel Retirement System (PSPRS)*,Arizona Public Safety Personnel Retirement System,Arizona,30-Jun-21,-0.016,0.073,17.8,11.8,https://www.pionline.com/pension-funds/arizona-public-safety-returns-16-fiscal-year-holds-large-cash-allocation
Arizona State Retirement System (ASRS),Arizona State Retirement System,Arizona,30-Jun-21,,0.075,,,
Arkansas Public Employees Retirement System (APERS)***,Arkansas Public Employees Retirement System,Arkansas,30-Jun-21,,0.075,,11.6,https://www.pionline.com/pension-funds/arkansas-public-employees-returns-315-fiscal-year
Arkansas Teachers Retirement Plan (ATRS),Arkansas Teachers Retirement Plan,Arkansas,30-Jun-21,,0.075,,21,https://www.arkansasonline.com/news/2021/oct/03/arkansas-teacher-retirement-system-investments/
California State Teachers Retirement System (CalSTRS),California State Teachers Retirement System,California,30-Jun-21,-0.013,0.07,301.6,308.6,https://www.calstrs.com/calstrs-finishes-with-1-3-return-beats-total-fund-benchmark-in-volatile-fiscal-year-2021-22
CalPERS - California Public Employees Retirement Fund (CalPERS)**,CalPERS - California Public Employees Retirement Fund,California,30-Jun-21,-0.061,0.07,440,469,https://www.calpers.ca.gov/page/newsroom/calpers-news/2022/calpers-preliminary-investment-return-2021-22
"Colorado PERA, Local Division Fund*","Colorado PERA, Local Division Fund",Colorado,31-Dec-21,,0.0725,,,
"Colorado PERA, School Division Fund (PERA)*","Colorado PERA, School Division Fund",Colorado,31-Dec-21,,0.0725,,,
"Colorado PERA, State Division Fund (PERA)*","Colorado PERA, State Division Fund",Colorado,31-Dec-21,,0.0725,,,
Connecticut Municipal Employees Retirement Plan,Connecticut Municipal Employees Retirement Plan,Connecticut,30-Jun-21,,0.07,,,
Connecticut State Employees Retirement System (SERS),Connecticut State Employees Retirement System,Connecticut,30-Jun-21,,0.069,,,
Connecticut Teachers Retirement System (TRS),Connecticut Teachers Retirement System,Connecticut,30-Jun-21,,0.069,,,
Delaware State Employees' Pension Plan (PERS),Delaware State Employees’ Pension Plan,Delaware,30-Jun-21,,0.07,,,
Employee Retirement System of Hawaii (ERS),Employee Retirement System of Hawaii,Hawaii,30-Jun-21,,0.07,,,
Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund,Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund,Texas,31-Aug-21,,0.075,,,
Florida Retirement System (FRS),Florida Retirement System,Florida,1-Jul-21,,0.072,,199.6,https://www.sbafla.com/fsb/Portals/FSB/Content/Performance/Trustees/2021/20210630_Trustees_Performance_Report.pdf?ver=2021-08-25-124618-543
Georgia Employees' Retirement System (GAERS),Georgia Employees’ Retirement System,Georgia,30-Jun-21,,0.0725,,,
Georgia Teachers Retirement System (GATRS),Georgia Teachers Retirement System,Georgia,30-Jun-21,-0.128,0.0725,91.9,,https://www.pionline.com/pension-funds/georgia-teachers-pension-plan-loses-128-investments-difficult-year
Idaho Public Employee Retirement System (PERS),Idaho Public Employee Retirement System,Idaho,1-Jul-21,-0.095,0.07,20.9,23.5,https://www.pionline.com/pension-funds/idaho-public-employees-pension-fund-returns-95-fiscal-year-topping-benchmark
Illinois Municipal Employees Retirement System,Illinois Municipal Employees Retirement System,Illinois,31-Dec-21,,0.075,,,
Illinois State Employees Retirement System (SERS),Illinois State Employees Retirement System,Illinois,30-Jun-21,,0.068,,,
Illinois Teachers Retirement System (TRS),Illinois State University Retirement System,Illinois,30-Jun-21,,0.07,,,
Illinois State University Retirement System (SURS),Illinois Teachers Retirement System,Illinois,30-Jun-21,,0.068,,23.641,https://www.surs.org/sites/default/files/pdfsx/invupdate.pdf
Indiana Public Employees Retirement Fund (PERF)*,Indiana Public Employees Retirement Fund,Indiana,30-Jun-21,,0.0675,,38,https://www.pionline.com/pension-funds/indiana-public-retirement-system-posts-net-231-return-fiscal-year
Indiana Teachers Retirement System (TRS)*,Indiana State Teachers Retirement Fund,Indiana,30-Jun-21,,0.0675,,38,https://www.pionline.com/pension-funds/indiana-public-retirement-system-posts-net-231-return-fiscal-year
Iowa Municipal Fire and Police Retirement System (MFPRSI),Iowa Municipal Fire and Police Retirement System,Iowa,1-Jul-21,,0.075,,,
Iowa Public Employees' Retirement System (IPERS),Iowa Public Employees' Retirement System,Iowa,30-Jun-21,,0.07,,42.9,https://www.pionline.com/pension-funds/iowa-public-employees-tops-benchmark-296-return
Kansas Public Employees' Retirement System (PERS),Kansas Public Employees' Retirement System,Kansas,31-Dec-21,,0.075,,,
Kentucky County Employees Retirement System,Kentucky County Employees Retirement System,Kentucky,30-Jun-21,-0.059509434,0.0625,10.6,,https://www.pionline.com/pension-funds/kentucky-public-pensions-authority-posts-negative-fiscal-year-returns-5-state-pension
Kentucky Employees Retirement System (ERS),Kentucky Employees Retirement System,Kentucky,30-Jun-21,-0.053684211,0.0525,3.8,,https://www.pionline.com/pension-funds/kentucky-public-pensions-authority-posts-negative-fiscal-year-returns-5-state-pension
Kentucky Teachers' Retirement System (TRS)***,Kentucky Teachers' Retirement System,Kentucky,30-Jun-21,,0.075,,25.7,https://www.pionline.com/pension-funds/kentucky-teachers-chalks-nearly-30-return
Louisiana Municipal Police Retirement System,Louisiana Municipal Police Retirement System,Louisiana,30-Jun-21,-0.103,0.071,2.4,2.7,https://www.pionline.com/pension-funds/louisiana-municipal-police-employees-pension-fund-posts-103-return-fiscal-year-above
Louisiana Parochial Employee Retirement System,Louisiana Parochial Employee Retirement System,Louisiana,31-Dec-21,,,,,
Louisiana School Employees' Retirement System (LSERS),Louisiana School Employees’ Retirement System,Louisiana,30-Jun-21,,0.07,,,
Louisiana State Employees Retirement System (LASERS),Louisiana State Employees Retirement System,Louisiana,30-Jun-21,,0.074,,14.716,https://lasersonline.org/wp-content/uploads/2021/09/LASERS-Valuation-2021.pdf
Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts*,Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts,Maine,30-Jun-21,,0.068,,18.1,https://www.mainepers.org/investments/performance/
Maine Public Employees Retirement System (PERS) Defined Benefit Plan*,Maine Public Employees Retirement System (PERS) Defined Benefit Plan,Maine,30-Jun-21,,0.068,,18.1,https://www.mainepers.org/investments/performance/
Maryland State Retirement and Pension System (ERS & TRS),Maryland State Employees’ Retirement System,Maryland,30-Jun-21,,0.074,,67.9,https://sra.maryland.gov/post/maryland-state-retirement-and-pension-system-earns-historic-267-during-fy-2021
