"","year","plan_name","state","return_1yr","aal","mva","arr","payroll","payroll_growth_assumption","total_nc_pct","total_proj_adec_pct","total_benefit_payments"
"1",2001,"Alabama Employees' Retirement System (ERS)*","Alabama",-0.0636,8010123000,7236735000,0.08,2408543000,0.045,0.1,0.0956,-396621000
"2",2002,"Alabama Employees' Retirement System (ERS)*","Alabama",-0.0929,8493469000,6424435000,0.08,2547775000,0.045,0.0988,0.1133,-414821000
"3",2003,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1648,9124279000,7222812000,0.08,2677025000,0,0.0873,0.1024,-448083000
"4",2004,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1006,9546478000,7795598000,0.08,2702393000,0.045,0.0988,0.1268,-480064000
"5",2005,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1098,10634976000,8464515000,0.08,2982122000,0.045,0.0982,0.1423,-518308000
"6",2006,"Alabama Employees' Retirement System (ERS)*","Alabama",0.0837,11457564000,9001867000,0.08,3070146000,0.045,0.1006,0.1522,-583573000
"7",2007,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1792,12370342000,10401218000,0.08,3389156000,0.045,0.1002,0.1553,-647490000
"8",2008,"Alabama Employees' Retirement System (ERS)*","Alabama",-0.1521,13078687000,8647705000,0.08,3553330000,0.045,0.1005,0.1628,-686854000
"9",2009,"Alabama Employees' Retirement System (ERS)*","Alabama",-0.1003,13756176000,7679005000,0.08,3620243000,0.045,0.0884,0.1325,-728070000
"10",2010,"Alabama Employees' Retirement System (ERS)*","Alabama",0.0847,14284119000,8176732000,0.08,3619670000,0.045,0.0806,0.1297,-759528000
"11",2011,"Alabama Employees' Retirement System (ERS)*","Alabama",0.0221,14366796000,8130435000,0.08,3540681000,0.0325,0.0778,0.1627,-819755000
"12",2012,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1801,13884995000,9188696000,0.08,3252003000,0.0325,0.0964,0.1924,-889210000
"13",2013,"Alabama Employees' Retirement System (ERS)*","Alabama",0.146,14536600000,10091940000,0.08,3400596000,0.0325,0.0999,0.197,-940312000
"14",2014,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1202,15138294000,10883952000,0.08,3444341000,0.0325,0.0998,0.1941,-996414000
"15",2015,"Alabama Employees' Retirement System (ERS)*","Alabama",0.0105,15723720000,10551904000,0.08,3488017000,0.0325,0.0993,0.1914,-1069539000
"16",2016,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1022,16728009000,11177074000,0.07875,3572891000,0.03125,0.0961,0.1925,-1084285000
"17",2017,"Alabama Employees' Retirement System (ERS)*","Alabama",0.1286,17250835000,12122471000,0.0775,3584700000,0.03,0.0965,0.1845,-1098023000
"18",2018,"Alabama Employees' Retirement System (ERS)*","Alabama",0.0929,17829735000,12720352000,0.077,3679181000,0.03,NA,NA,-1141953000
"19",2019,"Alabama Employees' Retirement System (ERS)*","Alabama",0.000620876136363636,18361478829.4447,12251063266.4291,0.077,3789556430,0.03,0.0965,0.1845,-1176211590
"20",2001,"Alabama Teachers' Retirement System (TRS)*","Alabama",-0.0605,17238616000,15814533000,0.08,4305080000,0.045,0.1078,0.1052,-846052000
"21",2002,"Alabama Teachers' Retirement System (TRS)*","Alabama",-0.0781,18374174000,14167952000,0.08,4379183000,0.045,0.1091,0.1254,-893893000
"22",2003,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1598,19357735000,15685620000,0.08,4632611000,0.045,0.1092,0.1444,-964771000
"23",2004,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1071,20886190000,16853149000,0.08,4846677000,0.045,0.1086,0.1436,-1023744000
"24",2005,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1126,23027338000,18168523000,0.08,5326408000,0.045,0.1076,0.1606,-1129073000
"25",2006,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.0882,23945100000,19207803000,0.08,5458443000,0.045,0.1145,0.1707,-1243934000
"26",2007,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1746,25971534000,21918750000,0.08,6310616000,0.045,0.1128,0.1751,-1435282000
"27",2008,"Alabama Teachers' Retirement System (TRS)*","Alabama",-0.1536,26804117000,18100387000,0.08,6294341000,0.045,0.1139,0.1838,-1524188000
"28",2009,"Alabama Teachers' Retirement System (TRS)*","Alabama",-0.0794,27537400000,16120988000,0.08,6236922000,0.045,0.1142,0.1775,-1554597000
