master attribute id,name,priority,attribute_column_name,data source id,data source
1,Market Value of Assets Dollar,100,mva,3,Reason
1,Market Value of Assets Dollar,200,mktassets_actrpt,2,Public Plans Database
1,Market Value of Assets Dollar,300,market-value-of-assets-(mva),9,Texas Pension Review Board
1,Market Value of Assets Dollar,400,market_value_of_assets,10,Florida Division of Retirement
2,Actuarially Accrued Liabilities Dollar,100,actuarially_accrued_liabilities_dollar,0,pensiondata.org
2,Actuarially Accrued Liabilities Dollar,150,aal,3,Reason
2,Actuarially Accrued Liabilities Dollar,200,actliabilities_gasb,2,Public Plans Database
2,Actuarially Accrued Liabilities Dollar,300,actuarially_accured_liabilities,1,Census
2,Actuarially Accrued Liabilities Dollar,500,actuarially_accrued_liability,10,Florida Division of Retirement
2,Actuarially Accrued Liabilities Dollar,600,total-accrued-liability,13,PSPRS
3,Covered Payroll Dollar,100,payroll,3,Reason
3,Covered Payroll Dollar,200,payroll,2,Public Plans Database
3,Covered Payroll Dollar,300,covered_payroll,1,Census
4,1 Year Investment Return Percentage,200,investmentreturn_1yr,2,Public Plans Database
5,10 Year Investment Return Percentage,200,investmentreturn_10yr,2,Public Plans Database
6,12 Year Investment Return Percentage,200,investmentreturn_12yr,2,Public Plans Database
7,15 Year Investment Return Percentage,200,investmentreturn_15yr,2,Public Plans Database
8,2 Year Investment Return Percentage,200,investmentreturn_2yr,2,Public Plans Database
9,20 Year Investment Return Percentage,200,investmentreturn_20yr,2,Public Plans Database
10,25 Year Investment Return Percentage,200,investmentreturn_25yr,2,Public Plans Database
11,3 Year Investment Return Percentage,200,investmentreturn_3yr,2,Public Plans Database
12,30 Year Investment Return Percentage,200,investmentreturn_30yr,2,Public Plans Database
13,4 Year Investment Return Percentage,200,investmentreturn_4yr,2,Public Plans Database
14,5 Year Investment Return Percentage,200,investmentreturn_5yr,2,Public Plans Database
15,7 Year Investment Return Percentage,200,investmentreturn_7yr,2,Public Plans Database
