"";"Metro";"Total Jobs.x";"auto10";"auto20";"auto30";"auto40";"auto50";"auto60";"Total Jobs.y";"bike10";"bike20";"bike30";"bike40";"bike50";"bike60";"Total Jobs";"transit10";"transit20";"transit30";"transit40";"transit50";"transit60"
"1";"Atlanta";2637483;31187;187161;484464;883595;1349658;1852199;2637483;2045;8482;17682;27891;39301;51379;2637483;349;2185;7708;19719;39812;68754
"2";"Austin";1004341;50160;244925;494183;731502;938597;1106297;1004341;3967;17606;36976;58847;81026;103245;1004341;508;3155;11322;26951;50136;79631
"3";"Baltimore";1316328;38909;220238;539136;915199;1320280;1803526;1316328;4218;17249;32249;47729;66375;85649;1316328;662;5372;17441;38184;69257;109254
"4";"Birmingham";510537;24105;130535;266839;374229;482502;597293;510537;1279;4489;7785;10934;13745;16128;510537;191;914;2735;6118;11140;17596
"5";"Boston";2682278;44386;233219;582975;1063205;1622819;2245988;2682278;8685;31743;66217;107894;146137;176547;2682278;1611;11983;41396;96493;176084;265702
"6";"Buffalo";546694;43697;209641;386918;488763;544381;593060;546694;3485;15478;33518;59640;87480;115239;546694;471;3467;11509;26127;46911;70787
"7";"Charlotte";1037014;35291;188297;454198;770678;1024155;1224185;1037014;2069;8342;18599;30128;42914;58067;1037014;413;2261;7208;17447;33977;56237
"8";"Chicago";4559884;60334;306379;781933;1451087;2259834;3098658;4559884;10348;42367;88865;147678;217708;293104;4559884;1826;16131;54870;127632;231307;350985
"9";"Cincinnati";1051395;35052;211722;504322;805607;1055313;1249533;1051395;2698;12122;26445;45646;69904;98320;1051395;370;2145;6994;16267;30444;48745
"10";"Cleveland";1023177;34441;209087;516984;867340;1169079;1410739;1023177;2658;11606;24581;42163;61756;81860;1023177;424;2437;8338;21536;43091;72598
"11";"Columbus";1025982;49625;301604;615025;825938;990123;1140390;1025982;3983;19158;41992;73154;113447;161444;1025982;401;3007;10609;25248;48308;80114
"12";"Dallas";3546551;65805;418056;1079330;1893807;2659576;3151871;3546551;2852;11052;22133;34492;47413;60529;3546551;497;3242;11091;28046;58197;104166
"13";"Denver";1450715;62272;341662;797919;1249511;1528240;1711466;1450715;6736;29864;67400;120385;185887;267108;1450715;781;5935;20125;49510;102168;182105
"14";"Detroit";1934459;57058;346508;813942;1307016;1726422;2064581;1934459;2408;11624;27400;49127;77122;110968;1934459;287;1841;6284;16213;34873;64528
"15";"Hartford";637565;38271;216432;494557;825316;1166832;1493350;637565;2515;9841;16807;22077;26632;30422;637565;464;3423;11239;23992;42089;65129
"16";"Houston";2977082;50898;309443;790245;1429365;2057094;2503954;2977082;2789;9809;17866;25649;33058;40438;2977082;464;3423;12807;31843;63431;109221
"17";"Indianapolis";1012511;42334;248464;570795;840424;1013913;1165886;1012511;2513;9354;18482;28653;39730;52124;1012511;354;2353;7563;17544;32912;53467
"18";"Jacksonville";694925;28473;161182;344451;489403;601372;686489;694925;1789;6937;13827;20455;25984;30968;694925;295;1282;3959;9821;20111;34832
