, mva , ava , aal ,uaal,funded_ratio,return_1yr,return_1yr_ava,arr,dr,er_nc_pct,adec,adec_paid_pct,er_proj_adec_pct,statutory_payment_percentage,statutory_payment_dollar,inflation_assum,payroll,total_benefit_payments,refunds,admin_exp,ee_contribution,er_contribution,other_additions,cash,fixed_income,equity,alternatives,Other,total_allocation,number_of_years_remaining_on_amortization_schedule, investments , benefit_changes , assumption_method_changes , negative_amo , demographic , pay_increase , net_ual_change 
1995,,"$2,244,000","$2,057,000","-$187,000",109.09%,,,8.00%,8.00%,,"$75,028",1,9.02%,0.00%,0.00%,,"$832,000",,,,,,,,,,,,,,,,,,,,
1996,,"$2,521,000","$2,222,000","-$299,000",113.46%,15.23%,,8.00%,8.00%,,"$76,773",1,8.69%,0.00%,0.00%,,"$883,000",,,,,,,,,,,,,,,,,,,,
1997,,"$2,876,000","$2,607,000","-$269,000",110.32%,15.11%,,8.00%,8.00%,,"$82,061",1,8.74%,0.00%,0.00%,,"$939,000",,,,,,,,,,,,,,,,,,,,
1998,"$3,625,616","$3,296,600","$2,921,000","-$375,600",112.86%,15.91%,,8.00%,8.00%,,"$87,529",1,8.99%,0.00%,0.00%,,"$974,000",,,,,,,,,,,,,,,,,,,,
1999,"$3,905,987","$3,711,800","$3,479,000","-$232,800",106.69%,8.16%,,8.00%,8.00%,,"$93,322",1,9.25%,0.00%,0.00%,,"$1,009,000",,,,,,,,,,,,,,,,,,,,
2000,"$4,235,392","$4,121,400","$3,803,000","-$318,400",108.37%,9.42%,,8.00%,8.00%,,"$96,349",1,9.18%,0.00%,0.00%,4.50%,"$1,050,000",,,,,,,-,43.08%,55.24%,1.68%,,100.00%,30,"-$134,100","$75,100",$0,-13424,"-$25,600",13100,"-$84,924"
2001,"$4,014,116","$4,335,500","$4,111,000","-$224,500",105.46%,-3.82%,,8.00%,8.00%,,"$100,925",1,9.43%,0.00%,0.00%,4.50%,"$1,070,000","$135,330,351","-369,060","-3,853,726","$301,349","$100,925,338","$7,533,778",0.33%,43.44%,49.46%,6.77%,,100.00%,30,"$37,000","$122,800",$0,-19440,"-$25,300",-31300,"$83,760"
2002,"$3,740,821","$4,397,200","$4,398,000",$800,99.98%,-5.74%,,8.00%,8.00%,,"$109,037",1,9.81%,0.00%,0.00%,4.00%,"$1,112,000","$153,007,132","-805,155","-4,067,319","$221,186","$109,037,491","$8,066,949",0.33%,43.47%,49.57%,6.63%,,100.00%,30,"$247,100","$60,500","-$71,100",-9224,"$2,500",-5400,"$224,376"
2003,"$3,882,663","$4,408,300","$4,674,000","$265,700",94.32%,5.53%,,8.00%,8.00%,,"$115,691",1,10.08%,0.00%,0.00%,4.00%,"$1,148,000","$169,763,198","-678,143","-4,370,719","$159,642","$115,690,798","$8,874,598",0.05%,38.93%,53.19%,7.85%,,100.03%,30,"$292,600","-$5,700","-$9,400",2560,"-$29,600",-36000,"$214,460"
2004,"$4,306,846","$4,429,900","$5,005,000","$575,100",88.51%,13.40%,,8.00%,8.00%,10.40%,"$118,419",1,10.07%,0.00%,0.00%,4.00%,"$1,176,000","$182,901,681","-374,972","-4,759,527","$117,955","$118,419,346","$9,522,046",0.98%,21.48%,71.12%,6.41%,,100.00%,22,"$274,000","$60,700",$0,18552,"-$27,700",-16200,"$309,352"
2005,"$4,640,778","$4,576,100","$5,619,000","$1,042,900",81.44%,9.30%,4.70%,8.00%,8.00%,9.94%,"$135,027",1,11.11%,0.00%,0.00%,4.00%,"$1,215,000","$207,122,449","-526,398","-4,313,081","$82,836","$135,027,446","$9,354,055",0.36%,21.53%,69.80%,8.31%,,100.00%,19,"$143,400","$98,100","$296,700",27000,"-$49,600",-46700,"$468,900"
2006,"$5,135,503","$4,941,100","$5,936,000","$994,900",83.24%,11.70%,9.00%,8.00%,8.00%,9.98%,"$158,152",1,12.48%,0.00%,0.00%,4.00%,"$1,267,000","$219,711,792","-62,133","-4,272,313","$4,667,067","$158,152,183","$10,630,255",0.25%,19.46%,71.42%,8.87%,,100.00%,18,"-$46,500","$13,700",$0,6900,"-$37,600",15400,"-$48,100"
2007,"$5,981,614","$5,497,526","$6,173,814","$676,288",89.05%,17.80%,12.40%,8.00%,8.00%,6.15%,"$163,224",1,12.53%,0.00%,0.00%,4.00%,"$1,303,000","$244,137,717","-632,790","-4,747,840","$12,192,289","$163,888,295","$8,844,973",0.46%,17.87%,69.69%,11.98%,,100.00%,13,"-$215,500","$2,000",$0,2200,"-$46,500",-53200,"-$311,000"
2008,"$5,615,161","$5,866,394","$6,542,697","$676,303",89.66%,-5.00%,8.00%,8.00%,8.00%,7.05%,"$173,462",1,12.57%,0.00%,0.00%,4.00%,"$1,380,000","$266,296,562","-1,919,767","-5,100,085","$18,443,261","$174,119,820","$32,563,899",0.36%,19.77%,64.96%,14.90%,,100.00%,30,$500,"$76,300","-$57,100",-29100,"-$26,400",35800,$0
2009,"$4,330,526","$5,413,158","$6,937,909","$1,524,751",78.02%,-21.10%,-5.90%,8.00%,8.00%,7.17%,"$159,232",1,11.10%,0.00%,0.00%,4.00%,"$1,434,000","$299,896,780","-2,661,289","-5,482,554","$23,722,994","$159,827,501","$9,581,816",0.32%,24.20%,62.79%,12.69%,,100.00%,27,"$808,100","$71,800",$0,-17000,"-$12,500",-1900,"$848,500"
