Total Equity,Fixed Income,Pivate Equity,Real Estate,Infrastructure,Cash Equivalents,Hedge Funds,Other Alternatives,,
misc_equity_actual_allocation,fixed_income_mortgages_securitized_debt_actual_allocation,private_equity_actual_allocation,real_estate_actual_allocation,infrastructure_actual_allocation,cash_short_term_actual_allocation,hedge_funds_actual_allocation,absolute_return_value_fund_actual_allocation,V1,
international_equity_actual_allocation,fixed_income_actual_allocation,,core_real_estate_actual_allocation,,fixed_income_cash_actual_allocation,gtaa_gaa_global_macro_hedge_actual_allocation,real_assets_real_return_actual_allocation,,
domestic_equity_actual_allocation,domestic_fixed_income_actual_allocation,1,non_core_real_estate_actual_allocation,,1,1,timberland_actual_allocation,,
mid_cap_domestic_equity_actual_allocation,high_yield_fixed_income_actual_allocation,"Showing 1 to 1 of 1 entries, 1 total columns",private_real_estate_actual_allocation,,2,2,multi_asset_class_diversified_actual_allocation,,V1
global_equity_actual_allocation,core_fixed_income_actual_allocation,,3,,"Showing 1 to 2 of 2 entries, 1 total columns","Showing 1 to 2 of 2 entries, 1 total columns",opportunity_opportunistic_actual_allocation,,
developed_international_equity_actual_allocation,value_added_fixed_income_actual_allocation,,4,,,,inflation_sensititive_actual_allocation,,
small_cap_domestic_equity_actual_allocation,global_fixed_income_actual_allocation,,"Showing 1 to 4 of 4 entries, 1 total columns",,,,private_debt_actual_allocation,,
large_cap_domestic_equity_actual_allocation,emerging_fixed_income_actual_allocation,,,,,,commodities_actual_allocation,,
emerging_international_equity_actual_allocation,fixed_income_alternatives_actual_allocation,,,,,,credit_opportunities_private_credit_actual_allocation,,
global_growth_equity_actual_allocation,investment_grade_fixed_income_actual_allocation,,,,,,opportunistic_equity_alternative_actual_allocation,,
large_cap_equity_actual_allocation,international_fixed_income_actual_allocation,,,,,,private_placement_actual_allocation,,
equity_securities_lending_actual_allocation,non_core_fixed_income_actual_allocation,,,,,,misc_alternatives_actual_allocation,,
passive_international_equity_actual_allocation,convertible_fixed_income_actual_allocation,,,,,,reit_actual_allocation,,
active_international_equity_actual_allocation,fixed_income_below_investment_grade_actual_allocation,,,,,,farmland_agriculture_actual_allocation,,
equity_hedge_actual_allocation,nominal_fixed_income_actual_allocation,,,,,,risk_parity_actual_allocation,,
micro_cap_equity_actual_allocation,fixed_income_cash_actual_allocation,,,,,,other_actual_allocation,,
core_equity_actual_allocation,opportunistic_fixed_income_actual_allocation,,,,,,natural_resources_actual_allocation,,
small_cap_equity_actual_allocation,us_treasury_actual_allocation,,,,,,mlp_limited_partnership_actual_allocation,,
,inflation_linked_bonds_tips_actual_allocation,,,,,,distressed_debt_actual_allocation,,
,corporate_bonds_actual_allocation,,,,,,loans_actual_allocation,,
,19,,,,,,covered_call_actual_allocation,,
,20,,,,,,opportunistic_debt_alernatives_actual_allocation,,
,"Showing 1 to 14 of 20 entries, 1 total columns",,,,,,triple_net_lease_actual_allocation,,
,,,,,,,22,,
,,,,,,,23,,
,,,,,,,"Showing 1 to 14 of 23 entries, 1 total columns",,
