dcplanid,state,planname,fy,year_est,ppd_id,planname_db,primary,cashbalance,hybrid,mandatory_default,plantype,eligible_eegroups,actives,inactives,members_total,assets,investmentoptions,eq_avg,ee_contrate_mandatory,ee_contrate_max,ee_contrate_verbatim,er_contrate_matchrate,er_contrate_fixedrate,er_contrate_verbatim,conts_ee,conts_er,coveredpayroll,er_contrate_match,er_contrate_fixed,Column1
1,AK,Alaska PERS – DCR Plan,2015,2006,3,Alaska PERS,1,,1,1,401(a),"Eligible Alaska PERS employees hired after July 1, 2006 are automatically enrolled in the DCR plan. Additionally, certain active members of the DB Plan were eligible to transfer to the DCR Plan if that member had not vested in the DB Plan.",,,17456,612212,28,,.08,,,,.05,,70462,38949,,,,
1,AK,Alaska PERS – DCR Plan,2016,2006,3,Alaska PERS,1,,1,1,401(a),"Eligible Alaska PERS employees hired after July 1, 2006 are automatically enrolled in the DCR plan. Additionally, certain active members of the DB Plan were eligible to transfer to the DCR Plan if that member had not vested in the DB Plan.",,,18585,705647,29,,.08,,,,.05,,77196,43350,,,,
1,AK,Alaska PERS – DCR Plan,2017,2006,3,Alaska PERS,1,,1,1,401(a),"Eligible Alaska PERS employees hired after July 1, 2006 are automatically enrolled in the DCR plan. Additionally, certain active members of the DB Plan were eligible to transfer to the DCR Plan if that member had not vested in the DB Plan.",,,21267,904939,29,,.08,,,,.05,,83493,46982,,,,
1,AK,Alaska PERS – DCR Plan,2018,2006,3,Alaska PERS,1,,1,1,401(a),"Eligible Alaska PERS employees hired after July 1, 2006 are automatically enrolled in the DCR plan. Additionally, certain active members of the DB Plan were eligible to transfer to the DCR Plan if that member had not vested in the DB Plan.",,,20811,1089767,28,,.08,,,,.05,,91413,51424,,,,
1,AK,Alaska PERS – DCR Plan,2019,2006,3,Alaska PERS,1,,1,1,401(a),"Eligible Alaska PERS employees hired after July 1, 2006 are automatically enrolled in the DCR plan. Additionally, certain active members of the DB Plan were eligible to transfer to the DCR Plan if that member had not vested in the DB Plan.",,,22395,1239795,25,,.08,,,,.05,,99995,57221,,,,
1,AK,Alaska PERS – DCR Plan,2020,2006,3,Alaska PERS,1,,1,1,401(a),"Eligible Alaska PERS employees hired after July 1, 2006 are automatically enrolled in the DCR plan. Additionally, certain active members of the DB Plan were eligible to transfer to the DCR Plan if that member had not vested in the DB Plan.",,,23478,1405801,25,,.08,,,,.05,,109124,62715,,,,1
2,AK,Alaska TRS – DCR Plan,2015,2006,4,Alaska Teachers,1,,1,1,401(a),"Eligible Alaska TRS employees hired after July 1, 2006 are automatically enrolled in the DCR plan. Additionally, certain active members of the DB Plan were eligible to transfer to the DCR Plan if that member had not vested in the DB Plan.",,,4076,252248,28,,.08,,,,.07,,22269,17863,,,,
2,AK,Alaska TRS – DCR Plan,2016,2006,4,Alaska Teachers,1,,1,1,401(a),"Eligible Alaska TRS employees hired after July 1, 2006 are automatically enrolled in the DCR plan. Additionally, certain active members of the DB Plan were eligible to transfer to the DCR Plan if that member had not vested in the DB Plan.",,,4378,289598,29,,.08,,,,.07,,24904,20280,,,,
2,AK,Alaska TRS – DCR Plan,2017,2006,4,Alaska Teachers,1,,1,1,401(a),"Eligible Alaska TRS employees hired after July 1, 2006 are automatically enrolled in the DCR plan. Additionally, certain active members of the DB Plan were eligible to transfer to the DCR Plan if that member had not vested in the DB Plan.",,,4937,381668,29,,.08,,,,.07,,26888,22165,,,,
2,AK,Alaska TRS – DCR Plan,2018,2006,4,Alaska Teachers,1,,1,1,401(a),"Eligible Alaska TRS employees hired after July 1, 2006 are automatically enrolled in the DCR plan. Additionally, certain active members of the DB Plan were eligible to transfer to the DCR Plan if that member had not vested in the DB Plan.",,,4937,458288,28,,.08,,,,.07,,28831,23710,,,,
2,AK,Alaska TRS – DCR Plan,2019,2006,4,Alaska Teachers,1,,1,1,401(a),"Eligible Alaska TRS employees hired after July 1, 2006 are automatically enrolled in the DCR plan. Additionally, certain active members of the DB Plan were eligible to transfer to the DCR Plan if that member had not vested in the DB Plan.",,,5218,524663,25,,.08,,,,.07,,31438,25814,,,,
2,AK,Alaska TRS – DCR Plan,2020,2006,4,Alaska Teachers,1,,1,1,401(a),"Eligible Alaska TRS employees hired after July 1, 2006 are automatically enrolled in the DCR plan. Additionally, certain active members of the DB Plan were eligible to transfer to the DCR Plan if that member had not vested in the DB Plan.",,,5569,588067,25,,.08,,,,.07,,32907,27366,,,,2
3,AZ,Arizona Public Safety Personnel Defined Contribution Retirement Plan (PSPDCRP),2017,2017,5,Arizona Public Safety,1,,1,1,401(a),"Employees who became members on or after July 1, 2017 and chose the DC plan. Also, corrections and detention officers hired on or after July 1, 2018 who work in state prisons, county jails, and municipalities will receive retirement benefits through PSPDCRP. They are no longer eligible for the DB Corrections Officer Retirement Plan. ",,,,,,,.09,,,,.09,,,,,,,
3,AZ,Arizona Public Safety Personnel Defined Contribution Retirement Plan (PSPDCRP),2018,2017,5,Arizona Public Safety,1,,1,1,401(a),"Employees who became a member on or after July 1, 2017 and chose the DC plan. Also, corrections and detention officers hired on or after July 1, 2018 who work in state prisons, county jails, and municipalities will receive retirement benefits through PSPDCRP. They are no longer eligible for the DB Corrections Officer Retirement Plan. ",,,50,,,,.09,,,,.09,,300,299.925,3111,,,
3,AZ,Arizona Public Safety Personnel Defined Contribution Retirement Plan (PSPDCRP),2019,2017,5,Arizona Public Safety,1,,1,1,401(a),"Employees who became a member on or after July 1, 2017 and chose the DC plan. Also, corrections and detention officers hired on or after July 1, 2018 who work in state prisons, county jails, and municipalities will receive retirement benefits through PSPDCRP. They are no longer eligible for the DB Corrections Officer Retirement Plan. ",,,,,,,.09,,,,.09,,592,591.984,5309,,,
