Cash.Equivalents,Fixed.Income.US,Fixed.Income.Int,Total.Equity.US,Total.Equity.Int,Other.Alternatives,Real.Estate
0.0230,0.2810,0.0280,0.4490,0.1150,0.1040,0.0000
0.0190,0.2540,0.0270,0.4820,0.1190,0.0990,0.0000
0.0260,0.1950,0.0060,0.5160,0.1430,0.1140,0.0000
0.0270,0.2250,0.0050,0.4810,0.1520,0.1100,0.0000
0.0400,0.1830,0.0090,0.5260,0.1380,0.1040,0.0000
0.0140,0.1740,0.0350,0.4680,0.1900,0.1190,0.0000
0.0540,0.1870,0.0850,0.3730,0.1770,0.1240,0.0000
0.0440,0.1790,0.0500,0.2950,0.2510,0.1810,0.0000
0.0690,0.1990,0.021,0.2820,0.1960,0.2330,0.0000
0.0390,0.2370,0.022,0.2800,0.1660,0.2560,0.0000
0.0590,0.1900,0.0250,0.3180,0.1630,0.2450,0.0000
0.0690,0.2080,0.0220,0.3370,0.1120,0.2520,0.0000
0.0530,0.1990,0.0180,0.4200,0.1210,0.1890,0.0000
0.0620,0.2090,0.0740,0.3950,0.0700,0.1900,0.0000
0.0630,0.2230,0.0190,0.3690,0.1040,0.2220,0.0000
0.0300,0.2920,0.0180,0.3360,0.1020,0.2220,0.0000
0.0350,0.2560,0.0100,0.3350,0.1370,0.2270,0.0000
0.0770,0.2250,0.0080,0.3070,0.1390,0.2440,0.0000
0.0750,0.2620,0.0090,0.2950,0.1350,0.2240,0.0000
0.0450,0.2840,0.0040,0.2850,0.1520,0.2300,0.0000
