year,gdp.pct.change
1948,10.0
1949,-0.7
1950,10.0
1951,15.7
1952,5.9
1953,6.0
1954,0.3
1955,8.9
1956,5.6
1957,5.5
1958,1.5
1959,8.4
1960,4.0
1961,3.7
1962,7.4
1963,5.6
1964,7.4
1965,8.4
1966,9.6
1967,5.7
1968,9.4
1969,8.2
1970,5.5
1971,8.5
1972,9.8
1973,11.4
1974,8.4
1975,9.0
1976,11.2
1977,11.1
1978,13.0
1979,11.7
1980,8.8
1981,12.2
1982,4.3
1983,8.7
1984,11.1
1985,7.5
1986,5.5
1987,6.0
1988,7.9
1989,7.7
1990,5.7
1991,3.3
1992,5.9
1993,5.2
1994,6.3
1995,4.8
1996,5.7
1997,6.2
1998,5.7
1999,6.3
2000,6.5
2001,3.2
2002,3.4
2003,4.8
2004,6.6
2005,6.7
2006,6.0
2007,4.6
2008,1.8
2009,-1.8
2010,3.8
2011,3.7
2012,4.2
2013,3.6
2014,4.4
2015,4.0
2016,2.7
2017,4.3
2018,5.4
2019,4.1
2020,#N/A
