Cash.Equivalents,Fixed.Income,Total.Public.Equity,Other.Alternatives,Infrastructure,Real.Estate,Private.Equity
0.0050,0.2760,0.6830,0.0360,0.0000,0.0000,0.0000
0.0080,0.2720,0.6800,0.0400,0.0000,0.0000,0.0000
0.0040,0.3310,0.6260,0.0390,0.0000,0.0000,0.0000
0.0050,0.3470,0.6160,0.0320,0.0000,0.0000,0.0000
0.0000,0.3330,0.6110,0.0560,0.0000,0.0000,0.0000
0.0000,0.3110,0.6200,0.0690,0.0000,0.0000,0.0000
0.0000,0.2840,0.6500,0.0660,0.0000,0.0000,0.0000
0.0000,0.3250,0.5830,0.0920,0.0000,0.0000,0.0000
0.0000,0.3670,0.5170,0.1160,0.0000,0.0000,0.0000
0.0000,0.3230,0.5170,0.1600,0.0000,0.0000,0.0000
0.0000,0.2760,0.5420,0.1820,0.0000,0.0000,0.0000
0.0000,0.2380,0.5260,0.1270,0.0000,0.0550,0.0540
0.0000,0.2390,0.5080,0.1140,0.0000,0.0680,0.0710
0.0000,0.2750,0.4500,0.1310,0.0250,0.0660,0.0530
0.0000,0.2560,0.4320,0.1520,0.0390,0.0650,0.0560
0.0000,0.2700,0.3810,0.1510,0.0410,0.0850,0.0720
0.0000,0.2330,0.3690,0.1720,0.0600,0.0770,0.0890
0.0000,0.2630,0.3000,0.1560,0.1070,0.0830,0.0910
0.0000,0.3200,0.2390,0.0890,0.1310,0.0980,0.1230
