YEAR,STATE,ELSED_GF,ELSED_FF,ELSED_OF,ELSED_BF,ELSED_TOT,HGRED_GF,HGRED_FF,HGRED_OF,HGRED_BF,HGRED_TOT,TANF_GF,TANF_FF,TANF_OF,TANF_BF,TANF_TOT,OTCA_GF,OTCA_FF,OTCA_OF,OTCA_BF,OTCA_TOT,MCAID_GF,MCAID_FF,MCAID_OF,MCAID_BF,MCAID_TOT,CORR_GF,CORR_FF,CORR_OF,CORR_BF,CORR_TOT,TRANS_GF,TRANS_FF,TRANS_OF,TRANS_BF,TRANS_TOT,OTHER_GF,OTHER_FF,OTHER_OF,OTHER_BF,OTHER_TOT,ELCAP GF,ELCAP FF,ELCAP OF,ELCAP BF,ELCAP TOT,HEDCP_GF,HEDCP_FF,HEDCP_OF,HEDCP_BF,HEDCP_TOT,CORCP_GF,CORCP_FF,CORCP_OF,CORCP_BF,CORCP_TOT,TRCAP_GF,TRCAP_FF,TRCAP_OF,TRCAP_BF,TRCAP_TOT,HSCAP_GF,HSCAP_FF,HSCAP_OF,HSCAP_BF,HSCAP_TOT,ENVCP_GF,ENVCP_FF,ENVCP_OF,ENVCP_BF,ENVCP_TOT,OTHCP_GF,OTHCP_FF,OTHCP_OF,OTHCP_BF,OTHCP_TOT,GFTOT_CAPI,FFTOT_CAPI,OFTOT_CAPI,BFTOT_CAPI,TOTAL_CAPI,GFTOT_CAP,FFTOT_CAP,OFTOT_CAP,BFTOT_CAP,TOTAL_CAP,SALES,PIT,CIT,GAMING,OTHER,TOTAL REV,TANF FF,TANF OF,TANF BF,TANF TOT,,,,,,,,,,
1991,Alabama,1627.9,502.2,0.0,0.0,2130.1,935.3,1589.3,0.0,0.0,2524.6,4.2,48.9,14.1,0.0,67.2,0.4,26.0,7.8,0.0,34.2,145.8,799.2,164.5,0.0,1109.5,136.0,1.3,24.2,0.0,161.5,1.1,261.5,277.1,10.8,550.5,541.8,1273.0,0.0,0.0,1814.8,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,261.5,81.0,10.0,352.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,6.0,6.7,3392.5,4501.4,487.7,10.8,8392.4,0.8,261.5,81.0,16.0,359.3,,,,,,,,,,,,,,,,,,,,
1991,Alaska,691.4,59.9,44.6,0.0,795.9,185.5,37.8,113.4,0.0,336.7,36.1,36.1,6.4,0.0,78.6,30.3,0.0,13.9,0.0,44.2,80.1,86.3,1.8,0.0,168.2,140.6,0.5,3.6,0.0,144.7,254.4,284.8,121.2,0.0,660.4,1141.1,175.5,223.9,0.0,1540.5,,,,,0.0,15.1,2.6,0.7,0.0,18.4,7.0,0.0,0.0,0.0,7.0,74.0,281.7,80.5,0.0,436.2,3.0,7.6,0.0,0.0,10.6,16.0,0.0,0.0,0.0,16.0,72.4,7.3,19.7,0.0,99.4,2559.5,680.9,528.8,0.0,3769.2,187.5,299.2,100.9,0.0,587.6,,,,,,,,,,,,,,,,,,,,
1991,Arizona,1219.0,270.8,0.0,0.0,1489.8,606.0,209.6,140.6,0.0,956.2,58.3,101.4,0.0,0.0,159.7,14.8,0.6,0.0,0.0,15.4,305.2,444.9,0.0,0.0,750.1,278.4,1.8,47.5,0.0,327.7,0.1,160.7,503.9,191.6,856.3,854.4,687.9,772.8,0.0,2315.1,,,,,0.0,3.3,0.6,0.0,0.0,3.9,4.0,0.0,29.9,0.0,33.9,2.7,160.9,163.6,191.1,518.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,3.9,0.0,10.6,3336.2,1877.7,1464.8,191.6,6870.3,16.7,161.5,197.4,191.1,566.7,,,,,,,,,,,,,,,,,,,,
1991,Arkansas,908.3,152.9,43.1,0.0,1104.3,333.8,0.9,451.6,1.9,788.2,15.1,45.4,0.0,0.0,60.5,56.4,85.0,8.3,0.0,149.7,138.7,545.3,41.8,0.0,725.8,72.9,0.1,20.7,0.0,93.7,0.4,0.0,409.1,0.0,409.5,347.0,501.6,840.0,16.8,1705.4,,,,,0.0,0.0,0.0,17.6,0.0,17.6,0.0,0.0,3.1,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.6,11.8,0.0,16.8,1872.6,1331.2,1814.6,18.7,5037.1,2.4,2.6,32.5,0.0,37.5,,,,,,,,,,,,,,,,,,,,
1991,California,13634.2,1796.2,666.9,1278.7,17376.0,5728.7,486.6,519.8,324.8,7059.9,2453.9,2687.0,0.0,0.0,5140.9,2857.8,123.3,0.0,0.0,2981.1,4038.0,4590.9,100.6,0.0,8729.5,2731.5,1.5,14.9,475.6,3223.5,25.0,1520.9,1782.1,43.1,3371.1,8794.0,10277.5,5553.4,422.0,25046.9,,,,,0.0,0.0,0.0,0.0,286.0,286.0,0.0,0.0,0.0,278.2,278.2,7.2,898.1,258.9,1.5,1165.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,51.1,82.1,133.4,2.2,45.3,61.8,4.5,113.8,40263.1,21483.9,8637.7,2544.2,72928.9,9.4,943.6,371.8,652.3,1977.1,,,,,,,,,,,,,,,,,,,,
1991,Colorado,1077.7,122.7,58.3,0.0,1258.7,519.9,15.3,445.1,0.0,980.3,36.5,68.3,25.7,0.0,130.5,9.9,0.0,2.5,0.0,12.4,332.9,383.0,9.9,0.0,725.8,213.7,0.5,17.9,0.0,232.1,0.0,230.6,243.4,0.0,474.0,527.2,511.4,524.2,0.0,1562.8,,,,,0.0,8.6,0.0,6.0,0.0,14.6,30.3,0.0,0.0,0.0,30.3,0.0,226.7,120.1,0.0,346.8,0.0,0.0,0.0,0.0,0.0,0.0,108.2,20.0,0.0,128.2,28.9,2.0,1.3,0.0,32.2,2717.8,1331.8,1327.0,0.0,5376.6,67.8,336.9,147.4,0.0,552.1,,,,,,,,,,,,,,,,,,,,
1991,Connecticut,1443.8,145.4,3.2,61.2,1653.6,397.8,22.8,514.3,21.6,956.5,174.9,174.9,0.0,0.0,349.8,231.9,5.1,0.0,0.0,237.0,597.9,597.9,0.0,0.0,1195.8,236.3,2.9,0.0,114.7,353.9,0.0,472.3,642.6,269.0,1383.9,2594.8,0.0,0.0,165.5,2760.3,,,,,0.0,0.0,0.0,0.0,21.6,21.6,0.0,0.0,0.0,114.7,114.7,0.0,472.3,0.0,269.1,741.4,0.0,0.0,0.0,50.6,50.6,0.0,0.0,0.0,44.7,44.7,0.0,0.0,0.0,131.4,131.4,5677.4,1421.3,1160.1,632.0,8890.8,0.0,472.3,0.0,632.1,1104.4,,,,,,,,,,,,,,,,,,,,
1991,Delaware,401.1,49.0,141.1,23.6,614.8,132.0,9.1,21.9,13.1,176.1,15.7,15.6,0.0,0.0,31.3,2.9,4.4,0.0,0.0,7.3,79.2,79.2,0.0,0.0,158.4,70.3,0.1,1.3,11.0,82.7,31.8,70.4,22.7,174.2,299.1,480.4,129.5,389.4,27.5,1026.8,,,,,0.0,0.0,0.0,0.0,13.1,13.1,0.0,0.0,1.0,11.0,12.0,0.0,65.0,20.8,174.2,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,41.8,41.8,1213.4,357.3,576.4,249.4,2396.5,0.0,65.0,21.8,249.4,336.2,,,,,,,,,,,,,,,,,,,,
1991,Florida,4248.0,715.2,1871.8,0.0,6835.0,1533.0,35.1,862.2,0.0,2430.3,221.3,265.3,0.0,0.0,486.6,22.1,23.9,0.0,0.0,46.0,1107.7,1672.9,394.0,0.0,3174.6,920.0,9.6,32.1,0.0,961.7,0.0,398.6,2259.7,296.8,2955.1,2730.1,1596.7,5685.0,73.5,10085.3,,,,,0.0,5.2,0.0,658.6,0.0,663.8,123.0,0.0,1.0,0.0,124.0,0.0,398.6,1511.5,296.8,2206.9,12.2,0.0,12.3,0.0,24.5,27.6,0.2,128.1,35.4,191.3,54.7,48.5,606.0,38.1,747.3,10782.2,4717.3,11104.8,370.3,26974.6,222.7,447.3,2917.5,370.3,3957.8,,,,,,,,,,,,,,,,,,,,
1991,Georgia,2844.8,415.3,0.4,77.3,3337.8,1060.8,17.2,868.1,52.3,1998.4,136.9,218.8,0.0,0.0,355.7,0.0,0.0,0.0,0.0,0.0,732.3,1310.8,35.2,0.0,2078.3,463.2,1.3,13.2,28.8,506.5,17.8,460.5,533.3,125.5,1137.1,2117.7,539.6,573.7,100.7,3331.7,,,,,0.0,47.0,0.0,0.0,52.3,99.3,0.2,0.0,0.0,28.8,29.0,13.9,448.8,183.9,125.5,772.1,2.0,29.7,0.0,0.0,31.7,0.6,0.0,0.0,0.0,0.6,27.2,0.0,0.0,178.0,205.2,7373.5,2963.5,2023.9,384.6,12745.5,90.9,478.5,183.9,384.6,1137.9,,,,,,,,,,,,,,,,,,,,
