year,plan_name,state,return_1yr,actuarial_cost_method_in_gasb_reporting,ava_return,funded_ratio,ava,mva,mva_smooth,aal,tpl,adec,adec_paid_pct,statutory,fund_id,plans,employers,statutory_pct,amortizaton_method,asset_valuation_method_for_gasb_reporting,total_benefit_payments,benefit_payments,refunds,admin_exp,cost_structure,payroll,ee_contribution,ee_nc_pct,er_contribution,er_nc_pct,er_state_contribution,er_proj_adec_pct,other_contribution,other_additions,fy_contribution,inflation_assum,arr,dr,number_of_years_remaining_on_amortization_schedule,payroll_growth_assumption,total_amortization_payment_pct,total_contribution,total_nc_pct,total_number_of_members,total_proj_adec_pct,type_of_employees_covered,unfunded_actuarially_accrued_liabilities_dollar,wage_inflation,region,cpi.change,total_exp_NASBO,gf_rev_NASBO,ual_exp_NASBO,total_exp_Urban,total_rev_Urban,ual_exp_Urban,Private.Equity,Real.Estate,Hedge.Funds,Commodities,Other.Alternatives,Total.Public.Equity,Fixed.Income,Cash.Equivalents
2001,North Dakota Public Employees Retirement System,North Dakota,-0.0447,Entry Age Normal,0.0936,1.106,1115300000,1134178962,NA,1008722500,NA,9642770,1,17101628,68,2,423,Main system- 4.12%; Judges- 14.52%; National guard- 8.33%,Level Percent Open,For actuarial purposes assets are valued utilizing a method which recognizes book value plus or minus realized and unrealized investment gains and losses amortized over a five-year period.,-36676996,38337000,-3735354,-894868,"Multiple employer, cost sharing plan",433373407,16273260,0.0401,17101629,0.0543,12272000,0.0388,0,1087578,2002,0.045,0.08,0.08,20,0.045,-0.0155,33374887,0.0944,22231,0.0789,Plan covers state and local employees,-106611900,NA,Midwest,0.026737968,2297,824.7,-0.05,NA,NA,NA,0.035,0.058,0,0,0,0.51,0.395,0.002
2002,North Dakota Public Employees Retirement System,North Dakota,-0.0694,Entry Age Normal,0.0391,1.042,1.15E+09,1047390026,NA,1103460900,NA,16811296,1,18244655,68,2,423,Main system- 4.12%; Judges- 14.52%; National guard- 8.33%,Level Percent Open,For actuarial purposes assets are valued utilizing a method which recognizes book value plus or minus realized and unrealized investment gains and losses amortized over a five-year period.,-40871328,42800000,-3129801,-983258,"Multiple employer, cost sharing plan",461344791,17379812,0.0401,18244654,0.0502,13074000,0.0447,0,1071614,2003,0.045,0.08,0.08,20,0.045,-0.0055,35624469,0.0903,22980,0.0848,Plan covers state and local employees,-46539900,NA,Midwest,0.012152778,2440,795,-0.02,4226558,4190494,-0.01,0.029,0.052,0,0,0,0.495,0.417,0.007
2003,North Dakota Public Employees Retirement System,North Dakota,0.0519,Entry Age Normal,0.0218,0.981,1166500000,1092838721,NA,1188830500,NA,20644235,0.93,19212733,68,2,423,Main system- 4.12%; Judges- 14.52%; National guard- 8.33%,Level Percent Open,For actuarial purposes assets are valued utilizing a method which recognizes book value plus or minus realized and unrealized investment gains and losses amortized over a five-year period.,-43733098,43733000,-2672201,-1068803,"Multiple employer, cost sharing plan",479506184,18265346,0.0401,19212732,0.0509,13180000,0.0557,0,1502602,2004,0.045,0.08,0.08,20,0.045,0.0048,37478078,0.091,23517,0.0958,Plan covers state and local employees,22378400,NA,Midwest,0.01943968,2824,875,0.01,NA,NA,NA,0.045,0.051,0,0,0,0.564,0.333,0.007
2004,North Dakota Public Employees Retirement System,North Dakota,0.1665,Entry Age Normal,0.0316,0.94,1196500000,1266962283,NA,1272857600,NA,26704376,0.74,19732842,68,2,423,Main system- 4.12%; Judges- 14.52%; National guard- 8.33%; Law enforcement with prior main service- 8.31%; Law enforcement without prior main service- 6.43%,Level Percent Open,For actuarial purposes assets are valued utilizing a method which recognizes book value plus or minus realized and unrealized investment gains and losses amortized over a five-year period.,-47515320,47515000,-3659450,-995879,"Multiple employer, cost sharing plan",501002180,18754814,0.0401,19732842,0.0515,13418000,0.0636,0,3403530,2005,0.045,0.08,0.08,20,0.045,0.0121,42277008,0.0916,24330,0.1037,Plan covers state and local employees,76324500,NA,Midwest,0.024116657,2925,956,0.03,6530004,4543185,0.01,0.045,0.047,0,0,0,0.568,0.324,0.015
2005,North Dakota Public Employees Retirement System,North Dakota,0.1417,Entry Age Normal,0.0436,0.908,1236100000,1433006393,NA,1361182100,NA,31844577,0.65,20704241,68,2,423,Main system- 4.12%; Judges- 14.52%; National guard- 8.33%; Law enforcement with prior main service- 8.31%; Law enforcement without prior main service- 6.43%,Level Percent Open,For actuarial purposes assets are valued utilizing a method which recognizes book value plus or minus realized and unrealized investment gains and losses amortized over a five-year period.,-51286688,51287000,-4433294,-1072277,"Multiple employer, cost sharing plan",521132349,19671214,0.0401,20704240,0.0431,14078000,0.0612,0,4439681,2006,0.045,0.08,0.08,20,0.045,0.0181,40375453,0.0832,25070,0.1013,Plan covers state and local employees,125068000,NA,Midwest,0.031763417,3185,997,0.04,5239270,4794370,0.02,0.041,0.051,0,0,0,0.564,0.332,0.012
2006,North Dakota Public Employees Retirement System,North Dakota,0.1204,Entry Age Normal,0.0779,0.888,1314500000,1587240088,NA,1314542900,NA,31906102,0.69,21969517,68,2,423,Main system- 4.12%; Judges- 14.52%; National guard- 6%; Law enforcement with prior main service- 8.31%; Law enforcement without prior main service- 6.43%,Level Percent Open,For actuarial purposes assets are valued utilizing a method which recognizes book value plus or minus realized and unrealized investment gains and losses amortized over a five-year period.,-57820125,57820000,-4236429,-1037535,"Multiple employer, cost sharing plan",547006151,20805715,0.0401,21969518,0.0473,14939000,0.0698,0,3714126,2007,0.035,0.08,0.08,20,0.045,0.0225,42775230,0.0874,26903,0.1099,Plan covers state and local employees,-165913800,NA,Midwest,0.024416136,3295,1094,0,5772036,4925745,0,0.041,0.06,0,0,0,0.556,0.333,0.01
2007,North Dakota Public Employees Retirement System,North Dakota,0.1963,Entry Age Normal,0.1584,0.934,1503100000,1878924867,NA,1609168600,NA,38184510,0.61,23140767,68,2,423,Main system- 4.12%; Judges- 14.52%; National guard- 6.5%; Law enforcement with prior main service- 8.31%; Law enforcement without prior main service- 6.43%,Level Percent Open,For actuarial purposes assets are valued utilizing a method which recognizes book value plus or minus realized and unrealized investment gains and losses amortized over a five-year period.,-60469902,60470000,-5131324,-1109260,"Multiple employer, cost sharing plan",582286825,21883581,0.0401,23140768,0.0476,15735000,0.0616,0,3683795,2008,0.035,0.08,0.08,20,0.045,0.014,45024348,0.0887,26962,0.1017,Plan covers state and local employees,106030700,NA,Midwest,0.026544041,3369,1224,0.03,6323331,5205361,0.02,0.044,0.059,0,0,0,0.573,0.314,0.01
2008,North Dakota Public Employees Retirement System,North Dakota,-0.0521,Entry Age Normal,0.0851,0.926,1609800000,1761223031,NA,1737627000,NA,35875117,0.7,25253902,68,2,423,Main system- 4.12%; Judges- 14.52%; National guard- 6.5%; Law enforcement with prior main service- 8.31%; Law enforcement without prior main service- 6.43%,Level Percent Open,Investments are valued at an adjusted market value. Interest and dividends are recognized immediately. The net market appreciation (depreciation) is spread over five years in equal dollar amounts beginning with the year of occurrence. The actuarial value ,-70153867,70015000,-4784327,-1118233,"Multiple employer, cost sharing plan",640684587,23896615,0.0401,25253902,0.0479,17172000,0.0629,0,3459598,2009,0.035,0.08,0.08,20,0.045,0.015,52359516,0.088,29314,0.103,Plan covers state and local employees,127816700,NA,Midwest,0.036638856,3597,1361,0.04,6577426,5610581,0.02,0.055,0.067,0,0,0,0.516,0.357,0.005
2009,North Dakota Public Employees Retirement System,North Dakota,-0.2405,Entry Age Normal,0.0172,0.851,1617100000,1320003266,NA,1901200800,NA,40327067,0.69,27705267,68,2,423,Main system- 4.12%; Judges- 14.52%; National guard- 6.5%; Law enforcement with prior main service- 8.31%; Law enforcement without prior main service- 6.43%,Level Percent Open,Investments are valued at an adjusted market value. Interest and dividends are recognized immediately. The net market appreciation (depreciation) is spread over five years in equal dollar amounts beginning with the year of occurrence. The actuarial value ,-71169570,71170000,-4921163,-496072,"Multiple employer, cost sharing plan",697736596,26237554,0.0401,27705268,0.0482,15384000,0.0776,0,3734784,2010,0.035,0.08,0.08,20,0.045,0.0294,53942820,0.0883,30423,0.1177,Plan covers state and local employees,284053000,NA,Midwest,-0.00641731,3941,1354,0.07,6009151,6071733,0.05,0.052,0.057,0,0,0,0.445,0.44,0.006
2010,North Dakota Public Employees Retirement System,North Dakota,0.1325,Entry Age Normal,0.0148,0.734,1621700000,1474184982,NA,2208386100,NA,54157866,0.56,30253093,68,2,423,Main system- 4.12%; Judges- 14.52%; National guard- 6.5%; Law enforcement with prior main service- 8.31%; Law enforcement without prior main service- 6.43%,Level Percent Open,Investments are valued at an adjusted market value. Interest and dividends are recognized immediately. The net market appreciation (depreciation) is spread over five years in equal dollar amounts beginning with the year of occurrence. The actuarial value ,-76884953,80287000,-3942154,-1214733,"Multiple employer, cost sharing plan",769710108,28579338,0.0401,30253094,0.053,17463000,0.1077,0,3406,2011,0.035,0.08,0.08,20,0.045,0.0547,62838004,0.0931,31477,0.1478,Plan covers state and local employees,586663000,NA,Midwest,0.019513486,4866.3,1536.2,0.12,7890299,6745898,0.07,0.042,0.049,0,0,0,0.498,0.398,0.013
