Age,Employee_Male,Healthy _Annuitant_Male,Disabled_Retiree_Male,Employee_Female,Healthy_Annuitant_Female,Disabled_Retiree_Female
18,0.000328,,0.005744,0.000157,,0.002162
19,0.000369,,0.006462,0.000162,,0.002231
20,0.000406,,0.007110,0.000162,,0.002231
21,0.000449,,0.007863,0.000162,,0.002231
22,0.000488,,0.008546,0.000162,,0.002231
23,0.000509,,0.008914,0.000166,,0.002286
24,0.000516,,0.009036,0.000169,,0.002328
25,0.000484,,0.008476,0.000173,,0.002383
26,0.000462,,0.008090,0.000179,,0.002465
27,0.000449,,0.007863,0.000187,,0.002576
28,0.000444,,0.007775,0.000196,,0.002700
29,0.000446,,0.007810,0.000206,,0.002837
30,0.000452,,0.007915,0.000218,,0.003003
31,0.000463,,0.008108,0.000231,,0.003182
32,0.000477,,0.008353,0.000244,,0.003361
33,0.000492,,0.008616,0.000258,,0.003553
34,0.000508,,0.008896,0.000272,,0.003746
35,0.000523,,0.009159,0.000286,,0.003939
36,0.000536,,0.009386,0.000300,,0.004132
37,0.000551,,0.009649,0.000318,,0.004380
38,0.000570,,0.009982,0.000339,,0.004669
39,0.000595,,0.010420,0.000365,,0.005027
40,0.000628,,0.010997,0.000396,,0.005454
41,0.000671,,0.011750,0.000433,,0.005964
42,0.000725,,0.012696,0.000477,,0.006570
43,0.000793,,0.013887,0.000529,,0.007286
44,0.000876,,0.015340,0.000589,,0.008112
45,0.000973,,0.017039,0.000657,,0.009049
46,0.001087,,0.017741,0.000733,,0.009635
47,0.001215,,0.018428,0.000816,,0.010215
48,0.001358,,0.019101,0.000906,,0.010787
49,0.001515,,0.019757,0.001001,,0.011352
50,0.001686,0.004064,0.020395,0.001102,0.002768,0.011907
51,0.001871,0.004384,0.021016,0.001206,0.002905,0.012450
52,0.002072,0.004709,0.021621,0.001315,0.003057,0.012979
53,0.002289,0.005042,0.022210,0.001429,0.003225,0.013494
54,0.002527,0.005384,0.022791,0.001548,0.003412,0.013992
55,0.002788,0.005735,0.023369,0.001673,0.003622,0.014479
56,0.003079,0.006099,0.023953,0.001805,0.003858,0.014958
57,0.003407,0.006478,0.024557,0.001946,0.004128,0.015439
58,0.003779,0.006877,0.025190,0.002097,0.004436,0.015931
59,0.004204,0.007305,0.025868,0.002261,0.004789,0.016447
60,0.004688,0.007771,0.026604,0.002442,0.005191,0.016999
61,0.005240,0.008284,0.027414,0.002642,0.005646,0.017603
62,0.005867,0.008854,0.028312,0.002864,0.006156,0.018273
63,0.006577,0.009492,0.029314,0.003113,0.006723,0.019028
64,0.007377,0.010209,0.030433,0.003389,0.007352,0.019884
65,0.008277,0.011013,0.031685,0.003696,0.008048,0.020860
66,0.009175,0.011916,0.033081,0.004113,0.008821,0.021976
67,0.010171,0.012930,0.034633,0.004577,0.009679,0.023250
68,0.011275,0.014067,0.036353,0.005094,0.010633,0.024702
69,0.012498,0.015342,0.038253,0.005669,0.011692,0.026348
70,0.013854,0.016769,0.040346,0.006309,0.012868,0.028203
71,0.015357,0.018363,0.042647,0.007021,0.014171,0.030280
72,0.017023,0.020141,0.045170,0.007813,0.015614,0.032591
73,0.018870,0.022127,0.047935,0.008695,0.017210,0.035148
74,0.020918,0.024345,0.050965,0.009676,0.018977,0.037962
75,0.023188,0.026826,0.054287,0.010768,0.020938,0.041045
76,0.025704,0.029608,0.057934,0.011983,0.023118,0.044413
77,0.028493,0.032735,0.061945,0.013336,0.025554,0.048078
78,0.031585,0.036258,0.066363,0.014841,0.028288,0.052059
79,0.035012,0.040232,0.071235,0.016516,0.031366,0.056372
80,0.038811,0.044722,0.076616,0.018380,0.034844,0.061036
81,,0.049795,0.082562,,0.038783,0.066074
82,,0.055526,0.089136,,0.043246,0.071506
83,,0.061996,0.096405,,0.048305,0.077357
84,,0.069290,0.104436,,0.054032,0.083652
85,,0.077497,0.113303,,0.060504,0.090420
86,,0.086712,0.123081,,0.067801,0.097694
87,,0.097038,0.133850,,0.076012,0.105510
88,,0.108591,0.145697,,0.085230,0.113909
89,,0.121499,0.158714,,0.095563,0.122939
90,,0.135908,0.173005,,0.107126,0.132652
91,,0.151322,0.187464,,0.119744,0.143420
92,,0.167422,0.202100,,0.133299,0.155186
93,,0.184030,0.216924,,0.147720,0.167890
94,,0.201074,0.231944,,0.162971,0.181474
95,,0.218559,0.247169,,0.179034,0.195880
96,,0.236535,0.262610,,0.195903,0.211049
97,,0.255059,0.278276,,0.213565,0.226923
98,,0.274170,0.294176,,0.231991,0.243443
99,,0.293848,0.310320,,0.251123,0.260551
100,,0.313988,0.326717,,0.270858,0.278189
101,,0.334365,0.343376,,0.291040,0.296297
102,,0.354599,0.360308,,0.311444,0.314819
103,,0.374524,0.377522,,0.331900,0.333694
104,,0.393982,0.395026,,0.352232,0.352865
105,,0.412831,0.412831,,0.372273,0.372273
106,,0.430946,0.430946,,0.391860,0.391860
107,,0.448227,0.448227,,0.410849,0.410849
108,,0.464592,0.464592,,0.429112,0.429112
109,,0.479987,0.479987,,0.446544,0.446544
110,,0.494376,0.494376,,0.463061,0.463061
111,,0.500000,0.500000,,0.478604,0.478604
112,,0.500000,0.500000,,0.493137,0.493137
113,,0.500000,0.500000,,0.500000,0.500000
114,,0.500000,0.500000,,0.500000,0.500000
115,,0.500000,0.500000,,0.500000,0.500000
116,,0.500000,0.500000,,0.500000,0.500000
117,,0.500000,0.500000,,0.500000,0.500000
118,,0.500000,0.500000,,0.500000,0.500000
119,,0.500000,0.500000,,0.500000,0.500000
120,,1.000000,1.000000,,1.000000,1.000000
