,master_attribute_id,Section,master_attribute_name,attribute_column_name,priority,plan_attribute_id,data_source_name,Data Format
1,1,CAFR,Market Value of Assets Dollar,mva,100,10996,Reason,$numeric
2,2,Actuarial Valuation,Actuarially Accrued Liabilities Dollar,aal,100,10990,Reason,$numeric
3,3,Actuarial Valuation,Covered Payroll Dollar,payroll,100,10993,Reason,$numeric
4,4,Actuarial Valuation,1 Year Investment Return Percentage,market_return,100,10981,Reason,Percentage point
5,25,Actuarial Valuation,Actuarial Funded Ratio Percentage,fundedratio_old,100,10992,Reason,integer
6,30,Actuarial Valuation,Actuarial Value of Assets Dollar,ava,100,10989,Reason,$numeric
7,32,GASB 68,Actuarially Determined Contribution Dollar,adec_amt,100,10885,Reason,$numeric
8,33,GASB 68,Actuarially Determined Contribution Missed Dollar,adec_missed,100,10887,Reason,$numeric
9,36,CAFR,Actuarially Required Contribution Dollar,arc,100,10984,Reason,$numeric
10,37,CAFR,Actuarially Required Contribution Paid Percentage,arc_pct,100,10987,Reason,$numeric
11,137,Actuarial Valuation,Employee Contribution Dollar,EE_Total_Amt,100,10705,Reason,integer
12,245,GASB 68,Net Pension Liability Dollar,npl,100,10877,Reason,$numeric
13,374,GASB 68,Total Pension Liability Dollar,tpl,100,10875,Reason,$numeric
14,379,Actuarial Valuation,Unfunded Actuarially Accrued Liabilities Dollar,ual,100,10991,Reason,$numeric
15,395,Actuarial Valuation,Discount Rate Assumption,assum_discountrate,100,10976,Reason,Percentage point
16,399,Actuarial Valuation,Investment Return Assumption for GASB Reporting,assum_returnrate,100,10978,Reason,Percentage point
17,400,Actuarial Valuation,Statutory Payment Dollar,statutory_amt_er,100,10842,Reason,$numeric
18,401,Actuarial Valuation,Statutory Payment Percentage,statutory_pct_er,100,10843,Reason,integer
19,402,Actuarial Valuation,Investment Experience Dollar,Investment_Experience,100,10801,Reason,$numeric
20,403,Actuarial Valuation,Age of Retirement Experience Dollar,Age_of_Retirement_Experience,100,10802,Reason,$numeric
21,404,Actuarial Valuation,Disability Claim Experience Active Dollar,Disability_Claim_Experience_Active,100,10803,Reason,$numeric
22,405,Actuarial Valuation,Disability Claim Experience Inactive Dollar,Disability_Claim_Experience_Inactive,100,10804,Reason,$numeric
23,406,Actuarial Valuation,Disability Claim Experience Retired Dollar,Disability_Claim_Experience_Retired,100,10805,Reason,$numeric
24,407,Actuarial Valuation,Disability Claim Experience Total Dollar,Disability_Claim_Experience_Total,100,10806,Reason,$numeric
25,408,Actuarial Valuation,Mortality Rate Experience Active Dollar,Mortality_Rate_Experience_Active,100,10807,Reason,$numeric
26,409,Actuarial Valuation,Mortality Rate Experience Inactive Dollar,Mortality_Rate_Experience_Inactive,100,10808,Reason,$numeric
27,410,Actuarial Valuation,Mortality Rate Experience Retired Dollar,Mortality_Rate_Experience_Retired,100,10809,Reason,$numeric
28,411,Actuarial Valuation,Mortality Rate Experience Total Dollar,Mortality_Rate_Experience_Total,100,10810,Reason,$numeric
29,412,Actuarial Valuation,Survivor Claim Experience Active Dollar,Survivor_Claim_Experience_Active,100,10811,Reason,$numeric
30,413,Actuarial Valuation,Survivor Claim Experience Inactive Dollar,Survivor_Claim_Experience_Inactive,100,10812,Reason,$numeric
31,414,Actuarial Valuation,Survivor Claim Experience Retired Dollar,Survivor_Claim_Experience_Retired,100,10813,Reason,$numeric
32,415,Actuarial Valuation,Survivor Claim Experience Total Dollar,Survivor_Claim_Experience_Total,100,10814,Reason,$numeric
33,416,Actuarial Valuation,Withdrawal Experience Dollar,Withdrawal_Experience,100,10815,Reason,$numeric
34,417,Actuarial Valuation,Salary Experience Dollar,Salary_Experience,100,10816,Reason,$numeric
35,418,Actuarial Valuation,Payroll Experience Dollar,Payroll_Experience,100,10817,Reason,$numeric
36,419,Actuarial Valuation,New Entrant Experience Dollar,New_Entrant_Experience,100,10818,Reason,$numeric
37,420,Actuarial Valuation,Rehire Experiennce Dollar,Rehire_Experiennce,100,10819,Reason,$numeric
38,421,Actuarial Valuation,Other Actuarial Experience Dollar,Other_Actuarial_Experience,100,10820,Reason,$numeric
39,422,Actuarial Valuation,Interest Smoothing Dollar,Interest_Smoothing,100,10821,Reason,$numeric
