Cash. Equivalents,Fixed.Income,Total.Public.Equity,Other.Alternatives,Infrastructure,Hedge.Funds,Real.Estate,Private.Equity
0,0.276,0.674,0,0,0,0.05,0
0,0.3,0.639,0,0,0,0.061,0
0,0.313,0.623,0,0,0,0.064,0
0,0.289,0.64,0,0,0,0.068,0.003
0.1212,0.4441,0.4347,0,0,0.0%,0,0
0.062,0.4101,0.5279,0,0,0.0%,0,0
0.061,0.442,0.496,0,0,0.0%,0,0.001
0.008,0.416,0.479,0.087,0,0.0%,0,0.01
0.131,0.312,0.329,0.196,0,0.0%,0.006,0.026
0.142,0.182,0.273,0.28,0,7.4%,0.006,0.043
0.073,0.157,0.324,0.288,0,7.9%,0.008,0.071
0.155,0.114,0.243,0.282,0,9.0%,0.025,0.091
0.106,0.129,0.283,0.299,0,5.0%,0.037,0.096
0.067,0.124,0.308,0.292,0,8.3%,0.036,0.09
0.0357,0.1092,0.323,0.3143,0,9.0%,0.0396,0.0884
0.021,0.0827,0.3172,0.3118,0.01,9.3%,0.0706,0.094
0.0195,0.0999,0.3508,0.3518,0.0139,1.6%,0.0717,0.0762
0.0089,0.1012,0.3634,0.3394,0.0196,0.8%,0.0856,0.0744
0.0628,0.0721,0.3726,0.303,0.0296,0.0%,0.0889,0.071
0.0023,0.1626,0.4355,0.2046,0.0272,0.0%,0.0975,0.0703
