state,type
Alabama ,rural
Alaska ,rural
Arkansas,rural
Colorado,rural
Idaho ,rural
Indiana,rural
Iowa,rural
Kansas,rural
Kentucky ,rural
Louisiana ,rural
Maine ,rural
Mississippi ,rural
Montana ,rural
Nebraska,rural
Nevada,rural
New Mexico,rural
North Dakota,rural
Oklahoma,rural
Oregon,rural
South Carolina,rural
South Dakota,rural
Utah,rural
Vermont,rural
West Virginia,rural
Wyoming       ,rural
Connecticut,urban
Delaware,urban
Hawaii,urban
Maryland,urban
Massachusetts,urban
New Jersey,urban
Rhode Island,urban
Arizona,mixed
California,mixed
Florida,mixed
Georgia,mixed
Illinois,mixed
Michigan,mixed
Minnesota,mixed
Missouri,mixed
New Hampshire,mixed
New York,mixed
North Carolina,mixed
Ohio,mixed
Pennsylvania,mixed
Tennessee,mixed
Texas,mixed
Virginia,mixed
Washington,mixed
Wisconsin,mixed
