Private.Equity,Real.Estate,Hedge.Funds,Commodities,Other.Alternatives,Total.Equity,Fixed.Income,Cash.Equivalents
0.14,0.03,0,0,0.03,0.56,0.19,0.04
0.13,0.04,0,0,0.03,0.54,0.23,0.04
0.15,0.04,0,0,0.03,0.53,0.2,0.04
0.12,0.04,0,0,0.03,0.54,0.19,0.08
0.11,0.03,0,0,0.02,0.62,0.19,0.02
0.1,0.04,0,0,0.02,0.64,0.19,0.01
0.09,0.07,0,0,0.02,0.6,0.17,0.06
0.12,0.08,0,0,0.02,0.55,0.19,0.04
0.13,0.08,0,0,0.03,0.52,0.19,0.06
0.16,0.05,0,0,0.03,0.54,0.16,0.06
0.15,0.06,0,0,0.02,0.57,0.14,0.05
0.17,0.08,0,0,0.03,0.48,0.18,0.06
0.15,0.08,0,0,0.03,0.49,0.18,0.07
0.15,0.08,0,0,0.02,0.51,0.2,0.05
0.15,0.07,0,0,0.03,0.51,0.19,0.06
0.16,0.05,0,0,0.03,0.47,0.2,0.08
0.13,0.08,0,0,0.07,0.48,0.18,0.06
0.16,0.08,0,0,0.06,0.47,0.17,0.06
0.15,0.1,0,0.04,0.06,0.47,0.18,0
0.17,0.1,0,0.04,0.07,0.45,0.17,0
0.21,0.1,0,0.03,0.06,0.45,0.15,0
