year,private_equity,real_estate,hedge_funds,commodities,alternatives,public_equities,fixed_income,cash,total
2001,0.00302,0.00603,0.00302,0,0,0.65327,0.32864,0.00603,1.00001
2002,0.00503,0.00604,0.00503,0,0,0.66197,0.31388,0.00805,1
2003,0.00802,0.00501,0.00802,0,0,0.67034,0.2986,0.01002,1.00001
2004,0.01102,0.00401,0.01102,0,0,0.68738,0.27455,0.01202,1
2005,0.01695,0.00299,0.01695,0,0,0.66999,0.27517,0.01795,1
2006,0.023,0.003,0.017,0,0,0.65,0.268,0.039,1
2007,0.034,0.011,0.025,0,0,0.633,0.282,0.015,1
2008,0.058,0.048,0.038,0.035,0,0.56,0.25,0.011,1
2009,0.067,0.058,0.041,0.026,0,0.538,0.24,0.03,1
2010,0.09,0.08,0.042,0.022,0,0.517,0.239,0.01,1
2011,0.104,0.111,0.04,0.031,0,0.507,0.194,0.013,1
2012,0.118,0.137,0.035,0.01,0,0.511,0.18,0.009,1
2013,0.123,0.136,0.09,0.004,0,0.447,0.19,0.01,1
2014,0.118,0.116,0.103,0.02,0,0.494,0.136,0.013,1
2015,0.125,0.129,0.135,0.02,0,0.453,0.133,0.005,1
2016,0.12,0.139,0.143,0.021,0,0.44,0.135,0.002,1
2017,0.126,0.121,0.145,0.04,0,0.42,0.142,0.006,1
2018,0.138,0.119,0.156,0.05,0,0.396,0.137,0.004,1
2019,0.14258,0.13471,0.16716,0.05703,0,0.34907,0.13274,0.01672,1.00001
2020,0.13539,0.12512,0.15686,0.04855,0,0.38562,0.13445,0.01401,1
2021,0.16555,0.11866,0.14641,0.04785,0,0.37321,0.13589,0.01244,1.00001
