year,net_amo,rem_ual
2002,0,3287000000
2003,698750644,4531249356
2004,786665201,7166334799
2005,1249460378,11946539622
2006,1758408994,11934591006
2007,2256468564,10288531436
2008,2573736487,8950263513
2009,2798748685,18846251315
2010,3684278924,19213721076
2011,4511272365,19550727635
2012,5769144910,20331855090
2013,6971737985,21964262015
2014,8128580216,23509419784
2015,9040798150,23927201850
2016,9566388415,25886611585
2017,9981499251,25489500749
2018,10352168852,35812831148
2019,11312880031,38174119969
2020,12650440690,37954559310
2021,13965179461,33682820539
