year,arr,mva,ava
2001,0.08,-0.105,0.104
2002,0.08,-0.078,0.015
2003,0.08,0.11,0.057
2004,0.08,0.119,0.026
2005,0.08,0.144,0.034
2006,0.08,0.096,0.083
2007,0.08,0.144,0.125
2008,0.08,-0.042,0.092
2009,0.08,-0.135,-0.015
2010,0.08,0.107,0.069
2011,0.08,0.155,0.062
2012,0.08,0.074,0.061
2013,0.08,0.089,0.062
2014,0.08,0.168,0.089
2015,0.08,-0.003,0.07
2016,0.08,0.073,0.069
2017,0.08,0.129,0.073
2018,0.0725,0.077,0.081
2019,0.0725,0.0503,0.069
2020,0.0725,0.071,0.068
2021,0.0725,0.248,0.105
