Cash.Equivalents,Fixed.Income,Total.Equity,Other.Alternatives,Commodities,Hedge.Funds,Real.Estate,Private.Equity
0.0004,0.4268,0.5728,0,,0,0,
0.0004,0.4269,0.5727,0,,0,0,
0.0004,0.4161,0.5835,0,,0,0,
,0.4122,0.5846,0.0032,,0,0,
,0.375,0.62,0.005,,0,0,
,0.373,0.616,0.011,,0,,
,0.358,0.6188,0.0063,,0,0.0169,
,0.38,0.6,,,0,0.02,
0.001,0.353,0.619,,,0,0.021,0.006
0.015,0.362,0.585,,,0,0.024,0.014
0.016,0.363,0.554,,,0,0.036,0.031
0.0104,0.3366,0.5397,0.0031,,0.0132,0.0492,0.0478
0.008,0.295,0.536,0.007,,0.025,0.063,0.066
0.0072,0.232,0.536,,0.0157,0.0432,0.0772,0.0888
0.011,0.236,0.488,,0.01,0.051,0.094,0.11
0.027,0.237,0.479,,0.014,0.047,0.097,0.1
0.02,0.226,0.478,0.004,0.017,0.0361,0.096,0.123
0.027,0.25,0.437,,0.02,0.0359,0.097,0.133
0.0349,0.2762,0.3724,0.0044,0.029,0.0331,0.1068,0.1432
0.0172,0.2331,0.3998,0.0046,0.037,0.0447,0.1096,0.1542
0.0261,0.1872,0.4031,,0.0417,0.0424,0.122,0.1775
