State,Year,(R01) Total Revenue,(R02) Total Rev-Own Sources,(R03) General Revenue,(R04) Gen Rev-Own Sources,(R05) Total Taxes,(R31) Total IG Revenue,(E001) Total Expenditure,(E002) Total IG Expenditure,(E013) General Expenditure
United States,2000,"1,942,328,438","1,650,378,688","1,541,322,481","1,249,372,731","872,351,114","291,949,750","1,746,942,699","4,029,073","1,506,796,694"
United States,2001,"1,890,891,484","1,566,858,100","1,647,161,064","1,323,127,680","914,118,616","324,033,384","1,899,153,105","4,305,931","1,626,066,364"
United States,2002,"1,806,591,592","1,446,045,374","1,684,879,080","1,324,332,862","905,100,802","360,546,218","2,051,537,122","4,387,483","1,736,865,978"
United States,2003,"2,047,337,010","1,658,073,443","1,763,211,760","1,373,948,193","938,971,754","389,263,567","2,164,176,141","4,403,863","1,821,916,709"
United States,2004,"2,434,155,253","2,011,043,546","1,887,396,886","1,464,285,179","1,010,545,571","423,111,707","2,266,647,123","4,627,356","1,908,542,706"
United States,2005,"2,528,546,342","2,089,988,228","2,026,034,009","1,587,475,895","1,098,512,679","438,558,114","2,368,316,211","4,620,167","2,012,110,428"
United States,2006,"2,742,151,182","2,289,175,723","2,197,474,868","1,744,499,409","1,205,666,632","452,975,459","2,502,263,859","6,502,059","2,123,663,491"
United States,2007,"3,067,232,228","2,602,647,384","2,329,356,126","1,864,771,282","1,283,262,933","464,584,844","2,663,811,937","4,670,648","2,259,899,291"
United States,2008,"2,620,868,024","2,143,427,417","2,421,977,020","1,944,536,413","1,329,598,803","477,440,607","2,839,547,849","4,765,734","2,406,183,108"
United States,2009,"2,098,595,407","1,560,646,025","2,429,671,977","1,891,722,595","1,282,156,133","537,949,382","2,993,874,267","4,894,977","2,500,796,037"
United States,2010,"3,180,023,050","2,556,222,164","2,510,845,953","1,887,045,067","1,278,846,635","623,800,886","3,115,171,744","4,339,166","2,542,231,083"
United States,2011,"3,440,608,614","2,793,002,803","2,618,037,203","1,970,431,392","1,344,169,594","647,605,811","3,159,581,385","4,295,922","2,583,804,897"
United States,2012,"2,992,556,766","2,411,953,220","2,598,745,198","2,018,141,652","1,387,984,790","580,603,546","3,158,292,614","3,960,888","2,595,947,409"
United States,2013,"3,432,010,291","2,848,716,587","2,687,494,975","2,104,201,271","1,455,870,548","583,293,704","3,191,151,039","3,193,509","2,631,945,195"
United States,2014,"3,629,158,592","3,026,983,102","2,768,260,269","2,166,084,779","1,494,974,279","602,175,490","3,290,056,977","3,202,205","2,723,021,764"
United States,2015,"3,416,065,033","2,758,053,288","2,920,319,807","2,262,308,062","1,563,701,447","658,011,745","3,405,438,716","3,210,012","2,844,289,448"
United States,2016,"3,408,694,937","2,714,706,352","3,018,371,624","2,324,383,039","1,602,017,996","693,988,585","3,532,824,918","3,205,882","2,964,237,997"
United States,2017,"3,922,318,004","3,211,819,033","3,123,468,241","2,412,969,270","1,657,927,289","710,498,971","3,667,208,287","3,258,516","3,078,216,890"
United States,2018,"4,097,362,685","3,356,771,513","3,298,797,379","2,558,206,207","1,768,205,611","740,591,172","3,816,662,216","3,280,509","3,206,455,960"
Alabama,2000,"25,726,452","20,639,209","21,012,237","15,924,994","9,415,089","5,087,243","25,319,135",0,"22,062,478"
Alabama,2002,"24,112,550","17,849,170","23,113,713","16,850,333","9,718,827","6,263,380","28,530,974",0,"24,604,802"
Alabama,2004,"31,898,043","25,225,886","25,368,178","18,696,021","10,535,366","6,672,157","31,268,214",0,"27,088,970"
Alabama,2005,"33,376,997","26,090,204","27,370,394","20,083,601","11,660,944","7,286,793","31,752,413",0,"27,558,242"
Alabama,2006,"35,746,030","28,056,630","29,579,745","21,890,345","12,756,025","7,689,400","33,777,872","33,664","29,256,556"
Alabama,2007,"39,996,278","32,779,822","30,880,980","23,664,524","13,510,462","7,216,456","35,780,693",0,"30,807,012"
Alabama,2008,"30,966,318","23,577,888","31,690,873","24,302,443","14,022,119","7,388,430","37,855,331",0,"32,498,933"
Alabama,2009,"33,896,509","25,358,035","32,547,640","24,009,166","13,553,980","8,538,474","41,171,406",0,"35,070,516"
Alabama,2010,"42,188,979","31,936,166","34,859,175","24,606,362","13,566,076","10,252,813","42,255,101",0,"35,606,308"
Alabama,2011,"41,381,661","31,581,115","35,169,698","25,369,152","13,890,163","9,800,546","42,380,444",0,"35,559,449"
Alabama,2012,"44,473,033","33,956,233","35,144,987","24,628,187","14,257,627","10,516,800","44,777,598",0,"37,875,933"
Alabama,2013,"46,031,370","35,323,783","36,109,737","25,402,150","14,517,183","10,707,587","46,678,459",0,"39,483,221"
Alabama,2014,"44,391,144","34,217,932","35,855,697","25,682,485","14,520,766","10,173,212","46,627,962",0,"39,631,914"
Alabama,2015,"43,614,708","32,887,703","38,264,379","27,537,374","15,180,094","10,727,005","47,322,321",0,"40,277,001"
