,Assumption,Investments,Demographic,Salary,COLA+Other,Net Amo,Net Change
2001,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0
2007,0,28752175,-32083462,20355588,1550581,-3581940,14992942
2008,45422995,14321468,26035387,16475059,2390471,167082,104812462
2009,0,5519247,312726392,23701599,6838673,16569,348802480
2010,-46529457,-27020896,26279596,-507961,32206808,-213758,-15785668
2011,54067732,51340491,-8517121,48863344,11653535,-24546383,132861598
2012,43012727,79746456,6447642,-8797138,-550458,-18940673,100918556
2013,44499276,57104097,-356798,-3004402,-2670835,-26621253,68950085
2014,46354354,44160604,-23737319,4893086,-7108974,-2246986,62314765
2015,94966380,28012308,2526059,-21990122,-5728960,-8024,97777641
2016,0,52982092,24080857,-27553067,12768859,-11832939,50445802
2017,190792964,53359198,10258663,20942341,11629574,-10257198,276725542
2018,-38599369,43709970,8436965,9712737,-1769543,-10510812,10979948
2019,0,43933869,11592854,3824756,-7906560,-10407130,41037789
2020,334265096,50131805,21306965,-2611627,-13853722,-10408437,378830080
