Table Name,Variable Label,Variable Name,WebName,Format/Unit of measure,Code
PensionActuarialCosts,Public Plans Database ID.  ,ppd_id,,0000-9999,
PensionActuarialCosts,Plan name.  ,PlanName,Plan name,text,
PensionActuarialCosts,Employee group id.  ,EEGroupID,,00-99,
PensionActuarialCosts,Tier id.  ,TierID,,00-99,
PensionActuarialCosts,Fiscal year.  ,fy,Fiscal year,yyyy,
PensionActuarialCosts,Fiscal Year in which calculated actuarial contributions are to be paid.  ,ContributionFY,Contribution FY,yyyy,
PensionActuarialCosts,"Total normal cost rate (% of payroll).  The normal cost is the present value of benefits actuarially accrued in a given year.  It is calculated by apportioning the total present value of an employee's expected benefits in retirement to each year of an employee's worklife, based on a specific actuarial cost method.",NormCostRate_tot,Total Normal Cost,integer,
PensionActuarialCosts,Member contribution rate (% of payroll).  ,NormCostRate_EE,Member Normal Cost,integer,
PensionActuarialCosts,Employer normal cost rate (% of payroll).  The employer normal cost is equal to the total normal cost minus member contributions.,NormCostRate_ER,Employer Normal Cost,integer,
PensionActuarialCosts,Employer's projected actuarial required contribution rate (% of payroll).  The employer's annual required contribution for funding purposes consists of two separate components: a payment to cover the total normal cost (net member contributions) – the cost of benefits accrued in the current year – and a payment to amortize the UAAL.,ReqContRate_ER,Employer's projected actuarial contribution rate,integer,
PensionActuarialCosts,Total projected actuarial required contribution rate (% of payroll).  The total annual required contribution for funding purposes consists of two separate components: a payment to cover the total normal cost – the cost of benefits accrued in the current year – and a payment to amortize the UAAL.,ReqContRate_tot,Total projected actuarial contribution rate,integer,
PensionActuarialCosts,Total normal cost amount.  ,NormCostAmount_tot,,$000s,
PensionActuarialCosts,Member contribution amount.  ,NormCostAmount_EE,,$000s,
PensionActuarialCosts,Employer normal cost amount.  ,NormCostAmount_ER,,$000s,
PensionActuarialCosts,Employer's projected actuarial required contribution amount.  ,ReqContAmount_ER,,$000s,
PensionActuarialCosts,Total projected actuarial required contribution amount.  ,ReqContAmount_tot,,$000s,
PensionActuarialCosts,Projected payroll.  ,ProjectedPayroll,,$000s,
PensionActuarialCosts,Estimated total normal cost rate (flag).  ,NormCostRate_tot_est,,"0,1","Estimated (1), Not estimated (0)"
PensionActuarialCosts,Estimated member contribution rate (flag).  ,NormCostRate_EE_est,,"0,1","Estimated (1), Not estimated (0)"
