ppd_id,PlanName,fy,system_id,PlanFullName,source_PlanBasics,FiscalYearType,PlanInceptionYear,PlanClosed,PlanYearClosed,AdministeringGovt,StateAbbrev,StateName,GovtName,PlanType,EmployeeTypeCovered,SocSecCovered,SocSecCovered_verbatim,CostStructure,EmployerType,CostSharing,BenefitsWebsite,EEGroupID,TierID,ActRptDate,fye,ActCostMeth_GASB,AssetValMeth_GASB,FundingMeth_GASB,InflationAssumption_GASB,InvestmentReturnAssumption_GASB,ActCostMethCode_GASB,AssetValMethCode_GASB,AssetSmoothingPeriod_GASB,FundingMethCode1_GASB,FundingMethCode2_GASB,UAALAmortPeriod_GASB,BlendedDiscountRate,AssetValMeth,PhaseIn,AssetValMeth_note,ActCostMeth,ActCostMeth_note,FundingMeth,FundingMeth_note,MktAssets_Smooth,ActAssets_Smooth,NetFlows_smooth,AssetValMethCode,SmoothingReset,GainlossConcept,GainLossBase_1,GainLossBase_2,GainLoss,GainLossPeriod,PhaseInPercent,PhaseInPeriods,PhaseInType,GainLossRecognition,AssetSmoothingBaseline,ExpectedReturnMethod,AddSubtractGainLoss,UpperCorridor,LowerCorridor,ActCostMethCode,FundMethCode_1,FundMethCode_2,PayrollGrowthAssumption,TotAmortPeriod,RemainingAmortPeriod,UAALYearEstablished,WageInflation,ActAssets_GASB,ActLiabilities_GASB,ActFundedRatio_GASB,UAAL_GASB,ActLiabilities_other,payroll,RequiredContribution,PercentReqContPaid,TotalPensionLiability,NetPosition,NetPensionLiability,ActAssets_est,ActLiabilities_est,ActFundedRatio_est,RequiredContribution_est,ActFundedRatio_GASB67,InvestmentConsultantName,InvestmentConsultantCode,InvestmentReturn_1yr,InvestmentReturn_2yr,InvestmentReturn_3yr,InvestmentReturn_4yr,InvestmentReturn_5yr,InvestmentReturn_7yr,InvestmentReturn_8yr,InvestmentReturn_10yr,InvestmentReturn_12yr,InvestmentReturn_15yr,InvestmentReturn_20yr,InvestmentReturn_25yr,InvestmentReturn_30yr,InvestmentReturn_LongTerm,InvestmentReturn_LTStartYear,GrossReturns,GeoReturn_est,GeoGrowth_est,InvestmentReturn_1yr_est,InvestmentReturn_5yr_est,InvestmentReturn_10yr_est,AvgReturn_3yr,AvgReturn_5yr,AvgReturn_10yr,expense_SecLendMgmtFees,contrib_EE_regular,contrib_ER_regular,contrib_ER_state,contrib_EE_PurchaseService,contrib_EE_other,contrib_ER_other,contrib_other,contrib_tot,FairValueChange_investments,FairValueChange_RealEstate,income_interest,income_dividends,income_InterestAndDividends,income_RealEstate,income_PrivateEquity,income_alternatives,income_international,income_OtherInvestments,expense_RealEstate,expense_PrivateEquity,expense_alternatives,expense_OtherInvestments,expense_investments,FVChange_SecLend,income_SecuritiesLending,expense_SecuritiesLending,income_SecuritiesLendingRebate,FVChange_SecLend_UG,income_OtherAdditions,income_net,expense_TotBenefits,expense_RetBenefits,expense_DisabilityBenefits,expense_DeathBenefits,expense_DROPBenefits,expense_SurvivorBenefits,expense_COLABenefits,expense_LumpSumBenefits,expense_OtherBenefits,expense_refunds,expense_AdminExpenses,expense_Depreciation,expense_OtherDeductions,expense_net,adjustment_MktAssets,MktAssets_net,BegMktAssets_net,contrib_ER_tot,contrib_other_tot,FairValueChange_tot,income_interest_dividends_tot,expense_investments_tot,SecLend_tot,investments_net,expense_other_tot,ContributionFY,ActuarialFirm,ActuarialFirmCode,NormCostRate_tot,NormCostRate_EE,NormCostRate_ER,ReqContRate_ER,ReqContRate_tot,NormCostAmount_tot,NormCostAmount_EE,NormCostAmount_ER,ReqContAmount_ER,ReqContAmount_tot,NormCostRate_tot_est,NormCostRate_EE_est,NormCostRate_ER_est,ReqContRate_ER_est,ProjectedPayroll,UAALRate,beneficiaries_DisabilityRetirees,beneficiaries_DependentSurvivors,actives_tot,ActiveSalaries,ActiveAge_avg,ActiveTenure_avg,ActiveSalary_avg,InactiveVestedMembers,InactiveNonVested,beneficiaries_tot,benefits_tot,BeneficiaryAge_avg,BeneficiaryBenefit_avg,beneficiaries_ServiceRetirees,benefits_ServiceRetirees,ServiceRetireeAge_avg,ServiceRetireeBenefit_avg,ServiceRetAge_avg,ServiceRetTenure_avg,benefits_DisabilityRetirees,beneficiaries_survivors,beneficiaries_SpousalSurvivors,beneficiaries_other,DROPMembers,OtherMembers,TotMembership,ActiveSalary_avg_est,BeneficiaryBenefit_avg_est,PVFB_InactiveNonVested,PVFB_active,PVFB_InactiveVested,PVFB_retiree,PVFB_other,PVFB_tot,PVFNC_tot,PVFNC_EE,PVFNC_ER,PVFS,MktAssets_ActRpt,ActAssets_AVA,ActLiabilities_EAN,ActLiabilities_PUC,TotFund_BnchmrkRtrn,EQTotal_Rtrn,EQTotal_Actl,EQTotal_Trgt,FITotal_Rtrn,FITotal_Actl,FITotal_Trgt,RETotal_Rtrn,RETotal_Actl,RETotal_Trgt,AltMiscTotal_Rtrn,AltMiscTotal_Actl,AltMiscTotal_Trgt,PETotal_Rtrn,PETotal_Actl,PETotal_Trgt,HFTotal_Rtrn,HFTotal_Actl,HFTotal_Trgt,COMDTotal_Rtrn,COMDTotal_Actl,COMDTotal_Trgt,CashTotal_Rtrn,CashTotal_Actl,CashTotal_Trgt,OtherTotal_Rtrn,OtherTotal_Actl,OtherTotal_Trgt
119,Washington PERS 2/3,2001,100,Washington Public Employeesí Retirement System,,1,1977,0,,0,WA,Washington,Washington,1,Plan covers state and local employees,1,Plan members covered by Social Security,"Multiple employer, cost sharing plan",2,1,http://www.drs.wa.gov/publications/publications.html,0,0,9/30/01,6/30/01,Aggregate Cost,4-year smoothing,,0.035,0.08,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,11031600,6158000,1.79143,-4873600,0,5249000,55600,2.07,,,,0,0,0,,,Watson Wyatt,9,-0.0596,,0.0623,,0.1108,,,,,,,,,,,,-0.0596,0,0,0,0,,,,,116564.45,115039,,,880.873,,,232484.31,-873428.19,,208701.55,75548.516,284250.06,,,,,,,,,,-9369.832,,25877.41,-26652.969,,,7010.539,-359828.66,-50797.926,-50797.926,,,,,,,,-48311.242,-6638.444,,-1903537.5,-2009285.1,,10162327,12531441,115039,880.873,-873428.19,284250.06,-9369.832,-775.559,-599323.5,-1903537.5,2003,Internal actuarial services,7,0.0282,0.0141,0.0141,0.0205,0.0346,,,,,,0,0,0,0,,0.0064,,,128955,5249000,,,40.704,15102,76733,8651,57000,,6.589,8651,,,,,,,,,0,,,152708,1,1,,,,,,,,,,,,,,,-0.064,-0.16373,0.51,0.51,0.1241,0.256,0.25,0.1331,0.085,0.09,,0,0,-0.069,0.134,0.15,,0,0,,0,0,0.0095,0.013,0,,0,0
119,Washington PERS 2/3,2002,100,Washington Public Employeesí Retirement System,,1,1977,0,,0,WA,Washington,Washington,1,Plan covers state and local employees,1,Plan members covered by Social Security,"Multiple employer, cost sharing plan",2,1,http://www.drs.wa.gov/publications/publications.html,0,0,9/30/02,6/30/02,Aggregate Cost,8-year maximum graded smoothed fair value,,0.035,0.08,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,10700800,6777000,1.57899,-3923800,0,5661000,72000,0.71,,,,0,0,0,,,PCA,4,-0.064,,0.0017,,0.0553,,,,,,,,,,,,-0.0618,0,0,0,0,,,,,48579.195,50953.227,,,3976.835,,,103509.26,-907523.88,,175123.95,82396.68,257520.63,,,,,,,,,,-10367.421,,12688.107,-11884.033,,,6592.183,-549465.13,-60551.539,-60551.539,,,,,,,,-42086.742,-6270.538,,-31164.646,-140073.47,,9472789,10162327,50953.227,3976.835,-907523.88,257520.63,-10367.421,804.074,-659566.63,-31164.646,2004,Internal actuarial services,7,0.0526,0.0263,0.0263,0.0378,0.0641,,,,,,0,0,0,0,,0.0115,,,132448,5661000,,,42.741,15872,77151,9750,68000,,6.974,9750,,,,,,,,,0,,,158070,1,1,,,,720000,,,,,,,,,,,-0.062,-0.13939,0.483,0.46,0.0656,0.28,0.25,0.0983,0.092,0.12,,0,0,-0.129,0.132,0.17,,0,0,,0,0,0.019,0.013,0,,0,0
119,Washington PERS 2/3,2003,100,Washington Public Employeesí Retirement System,,1,1977,0,,0,WA,Washington,Washington,1,Plan covers state and local employees,1,Plan members covered by Social Security,"Multiple employer, cost sharing plan",2,1,http://www.drs.wa.gov/publications/publications.html,0,0,9/30/03,6/30/03,Aggregate Cost,8-year maximum graded smoothed fair value,,0.035,0.08,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,10842300,7606000,1.42549,-3236300,0,5930000,141700,0.27,,,,0,0,0,,,PCA,4,0.0415,,-0.0285,,0.0317,,,,,,,,,,,,-0.02856,0,0,0,0,-0.027,,,,34498.035,38287.504,,,2169.821,,,74955.359,148963.36,,144340.19,81534.516,225874.7,,,,,,,,,,-9209.455,,12221.722,-11935.367,,,6831.876,447702.28,-72459.992,-72459.992,,,,,,,,-30835.244,-6054.241,,-611866.63,-721216.13,,9199276,9472789,38287.504,2169.821,148963.36,225874.7,-9209.455,286.355,365914.94,-611866.63,2005,Internal actuarial services,7,0.0701,0.0338,0.0363,0.0573,0.0911,,,,,,0,0,0,0,,0.021,,,134810,5930000,,,43.988,16859,78853,10990,81000,,7.37,10990,,,,,,,,,0,,,162659,1,1,,,,860000,,,,,,,,,,,0.037,-0.00553,0.477,0.46,0.1353,0.273,0.25,0.1133,0.094,0.12,,0,0,-0.0399,0.144,0.17,,0,0,,0,0,0.0148,0.012,0,,0,0
119,Washington PERS 2/3,2004,100,Washington Public Employeesí Retirement System,,1,1977,0,,0,WA,Washington,Washington,1,Plan covers state and local employees,1,Plan members covered by Social Security,"Multiple employer, cost sharing plan",2,1,http://www.drs.wa.gov/publications/publications.html,0,0,9/30/04,6/30/04,Aggregate Cost,8-year maximum graded smoothed fair value,,0.035,0.08,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,11431100,8504000,1.3442,-2927100,0,6221000,192600,0.36,,,,0,0,0,,,PCA,4,0.1606,,0.0421,,0.0397,,,,,,,,,,,,0.01562,0,0,0,0,0.046,,,,60953,69377,,,2917,,,133247,1225571,,127101,106481,233582,,,,,,,,,,-5081,,7851,-8014,,,7083,1594239,-86174,-86174,,,,,,,,-27082,-5779,,-22918,-141953,,10651561,9199276,69377,2917,1225571,233582,-5081,-163,1453909,-22918,2006,Internal actuarial services,7,0.0684,0.0342,0.0342,0.0565,0.0907,,,,,,0,0,0,0,,0.0223,,,138427,6221000,,,44.941,18038,78411,12328,96000,,7.787,12328,,,,,,,,,0,,,168793,1,1,,,,1019000,,,,,,,,,,,0.175,0.24313,0.5,0.46,0.0154,0.256,0.25,0.1058,0.094,0.12,,0,0,0.2148,0.12,0.17,,0,0,,0,0,0.0103,0.011,0,,0,0
119,Washington PERS 2/3,2005,100,Washington Public Employeesí Retirement System,,1,1977,0,,0,WA,Washington,Washington,1,Plan covers state and local employees,1,Plan members covered by Social Security,"Multiple employer, cost sharing plan",2,1,http://www.drs.wa.gov/publications/publications.html,0,0,9/30/05,6/30/05,Aggregate Cost,8-year maximum graded smoothed fair value,,0.035,0.08,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,12274000,9663000,1.27021,-2611000,0,6445000,227700,0.33,,,,0,0,0,,,PCA,4,0.1334,,0.1071,,0.0363,,,,,,,,,,,,0.03816,0,0,0,0,0.112,0.042,,,63806,74720,,,3403,,,141929,1144775,,135443,139352,274795,,,,,,,,,,-3827,,23395,-24002,,,6460,1563525,-102742,-102742,,,,,,,,-24086,-5960,,-4718,-137506,,12077580,10651561,74720,3403,1144775,274795,-3827,-607,1415136,-4718,2007,Internal actuarial services,7,0.0806,0.0392,0.0414,0.0711,0.1103,,,,,,0,0,0,0,,0.0297,,,139616,6445000,,,46.162,19734,81020,13814,114000,,8.252,13814,,,,,,,,,0,,,173164,1,1,,,,1234000,,,,,,,,,,,0.094,0.11474,0.4917,0.46,0.0703,0.2595,0.25,0.2217,0.0931,0.12,,0,0,0.2701,0.1456,0.17,,0,0,,0,0,0.0211,0.0101,0,,0,0
119,Washington PERS 2/3,2006,100,Washington Public Employeesí Retirement System,,1,1977,0,,0,WA,Washington,Washington,1,Plan covers state and local employees,1,Plan members covered by Social Security,"Multiple employer, cost sharing plan",2,1,http://www.drs.wa.gov/publications/publications.html,0,0,9/30/06,6/30/06,Aggregate Cost,8-year maximum graded smoothed fair value,,0.035,0.08,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,13528900,11152000,1.21314,-2376900,0,6771000,307600,0.49,,,,0,0,0,,,PCA,4,0.1669,,0.1547,,0.0851,,,,,,,,,,,,0.05858,0,0,0,0,0.154,0.088,,,127800,149579,,,3583,,,280962,1644879,,160534,220613,381147,,,,,,,,,,-8784,,58445,-54985,,,7311,2308975,-121096,-121096,,,,,,,,-26476,-6599,,-4296,-158467,,14228088,12077580,149579,3583,1644879,381147,-8784,3460,2020702,-4296,2008,Internal actuarial services,7,0.0934,0.0462,0.0472,0.0772,0.1234,,,,,,0,0,0,0,,0.03,,,140814,6771000,,,48.085,22935,83220,15367,135000,,8.785,15367,,,,,,,,,0,,,179116,1,1,,,,1453000,,,,,,,,,,,0.109,0.18415,0.4775,0.475,0.0032,0.2406,0.275,0.243,0.105,0.095,,0,0,0.3948,0.1679,0.155,,0,0,,0,0,0.0416,0.009,0,,0,0
119,Washington PERS 2/3,2007,100,Washington Public Employeesí Retirement System,,1,1977,0,,0,WA,Washington,Washington,1,Plan covers state and local employees,1,Plan members covered by Social Security,"Multiple employer, cost sharing plan",2,1,http://www.drs.wa.gov/publications/publications.html,0,0,6/30/07,6/30/07,Aggregate Cost,8-year maximum graded smoothed fair value,,0.035,0.08,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,14888000,12418000,1.199,-2470000,0,7157000,331300,0.73,,,,0,0,0,,,PCA,4,0.2133,,0.1697,,0.1399,,,,,,,,,,,,0.07941,0,0,0,0,0.171,0.143,,,207144,242544,,,4527,,,454215,2476276,,245723,339257,584980,,,,,,,,,,-10825,,89416,-85140,,,7590,3516512,-143802,-143802,,,,,,,,-26465,-7344,,-3904,-181515,,17563084,14228088,242544,4527,2476276,584980,-10825,4276,3054707,-3904,2009,Internal actuarial services,7,0.0933,0.0461,0.0472,0.0784,0.1245,,,,,,0,0,0,0,,0.0312,,,145047,7157000,,,49.343,23927,84461,16558,150000,,9.059,16558,,,,,,,,,0,,,185532,1,1,,,,1738000,,,,,,,17559000,,,,0.19,,0.4708,0.46,0.0661,0.2345,0.25,0.252,0.1102,0.12,,0,0,0.2897,0.183,0.17,,0.0007,0,,0,0,0.0517,0.0008,0,,0,0
119,Washington PERS 2/3,2008,100,Washington Public Employeesí Retirement System,,1,1977,0,,0,WA,Washington,Washington,1,Plan covers state and local employees,1,Plan members covered by Social Security,"Multiple employer, cost sharing plan",2,1,http://www.drs.wa.gov/publications/publications.html,0,0,6/30/08,6/30/08,Aggregate Cost,8-year maximum graded smoothed fair value,,0.035,0.08,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,16693000,14065000,1.187,-2627000,0,7869000,363300,0.88,,,,0,0,0,,,PCA,4,-0.0124,,0.1182,,0.1303,,,,,,,,,,,,0.06749,0,0,0,0,0.123,0.132,,,268573,318740,,,9872,,,597185,-713629,,166960,332377,499337,,,,,,,,,,-20117,,55784,-46099,,,7689,380150,-170317,-170317,,,,,,,,-26574,-9889,,-70935,-277715,,17665520,17563084,318740,9872,-713629,499337,-20117,9685,-224724,-70935,2010,Internal actuarial services,7,0.0901,0.0445,0.0456,0.0584,0.1029,,,,,,0,0,0,0,,0.0128,,,150005,7869000,,,52.458,24996,87437,18541,179000,,9.654,18541,,,,,,,,,0,,,193542,1,1,,,,2057000,,,,,,,17661000,,,,-0.058,,0.3867,0.37,0.0828,0.2336,0.2,0.1018,0.1397,0.13,,0,0,0.03,0.2228,0.25,-0.1416,0.0089,0,,0.0072,0.05,0.0429,0.001,0,,0,0
119,Washington PERS 2/3,2009,100,Washington Public Employeesí Retirement System,,1,1977,0,,0,WA,Washington,Washington,1,Plan covers state and local employees,1,Plan members covered by Social Security,"Multiple employer, cost sharing plan",2,1,http://www.drs.wa.gov/publications/publications.html,0,0,6/30/09,6/30/09,Aggregate Cost,8-year maximum graded smoothed fair value,,0.035,0.08,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,18260000,15701000,1.163,-2560000,0,8132000,369700,1.19,,,,0,0,0,,,PCA,4,-0.2284,,-0.0258,,0.0405,,,,,,,,,,,,0.02967,0,0,0,0,-0.009,0.055,,,368127,439744,,,6221,,,814092,-4274108,,92018,193191,285209,,,,,,,,,,-82079,,23327,-10980,,,8658,-3235881,-207319,-207319,,,,,,,,-26442,-8277,,-8903,-250941,,14178698,17665520,439744,6221,-4274108,285209,-82079,12347,-4058631,-8903,2011,Internal actuarial services,7,0.0929,0.0459,0.047,0.0845,0.1304,,,,,,0,0,0,0,,0.0375,,,148881,8132000,,,54.621,25949,90339,20710,219000,,10.575,20710,,,,,,,,,0,,,195540,1,1,,,,2424000,,,,,,,14177000,,,,-0.186,,0.3601,0.37,0.061,0.2315,0.2,-0.2574,0.1753,0.13,,0,0,-0.3092,0.2123,0.25,-0.3244,0.008,0,-0.0926,0.0111,0.05,0.0134,0.0016,0,,0,0
119,Washington PERS 2/3,2010,100,Washington Public Employeesí Retirement System,,1,1977,0,,0,WA,Washington,Washington,1,Plan covers state and local employees,1,Plan members covered by Social Security,"Multiple employer, cost sharing plan",2,1,http://www.drs.wa.gov/publications/publications.html,0,0,6/30/10,6/30/10,Aggregate Cost,8-year maximum graded smoothed fair value,,0.035,0.08,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,19474000,17272000,1.127,-2202000,0,8206000,383100,0.85,,,,0,0,0,,,PCA,4,0.1322,,-0.048,,0.0408,,,0.03949,,,,,,,,,0.03949,0,0,0,1,-0.036,0.054,0.048,,264231,327460,,,7319,,,599010,1468001,,202548,258874,461422,,,,,,,,,,-65432,,5982,-1819,,,20041,2487205,-251765,-251765,,,,,,,,-31425,-8643,,-5407,-297240,,16368663,14178698,327460,7319,1468001,461422,-65432,4163,1868154,-5407,2012,Internal actuarial services,7,0.0993,0.0491,0.0502,0.0841,0.1332,,,,,,0,0,0,0,,0.0339,,,147519,8206000,,,55.627,26881,92421,23157,268000,,11.573,23157,,,,,,,,,0,,,197557,1,1,,,,3095000,,,,,,,16367000,,,,0.132,,0.3471,0.37,0.1247,0.2189,0.2,-0.0382,0.1421,0.13,,0,0,0.2395,0.2576,0.25,0.1189,0.0083,0,0.101,0.0116,0.05,0.0017,0.0144,0,,0,0
