,,
,,
,,
,,
state,avg.f,rank
Hawaii,67.4,1
Florida,59.4,2
Louisiana,50.9,3
Texas,47.9,4
Georgia,47.8,5
Mississippi,46.7,6
Alabama,46.5,7
California,46.2,8
South Carolina,46.1,9
Arizona,43.6,10
North Carolina,42.1,11
Arkansas,41.5,12
Oklahoma,39.1,13
Tennessee,39.1,13
Virginia,36.8,15
Delaware,36.1,16
New Mexico,36.1,16
Kentucky,35.9,18
Maryland,34.7,19
Oregon,34,20
New Jersey,33,21
Washington,33,21
West Virginia,32.8,23
Missouri,32.3,24
Nevada,32.2,25
Kansas,31.9,26
Rhode Island,31.4,27
Ohio,29.5,28
Indiana,29.4,29
Connecticut,28.5,30
Pennsylvania,28.4,31
Illinois,28.3,32
Utah,28.2,33
Massachusetts,27.4,34
Colorado,25.8,35
Nebraska,25.7,36
Idaho,25.4,37
New York,23.3,38
Iowa,21.7,39
Michigan,21.7,39
Montana,21.2,41
Wyoming,21.2,41
New Hampshire,21.1,43
South Dakota,19.5,44
Vermont,19.4,45
Wisconsin,17.2,46
Maine,16.8,47
Minnesota,12.4,48
North Dakota,12.2,49
Alaska,2.6,50
