"State","AverageTemperature"
"Florida","70.7000"
"Hawaii","70"
"Louisiana","66.4000"
"Texas","64.8000"
"Georgia","63.5000"
"Mississippi","63.4000"
"Alabama","62.8000"
"South Carolina","62.4000"
"Arkansas","60.4000"
"Arizona","60.3000"
"Oklahoma","59.6000"
"California","59.4000"
"North Carolina","59"
"Tennessee","57.6000"
"Kentucky","55.6000"
"Delaware","55.3000"
"Virginia","55.1000"
"Missouri","54.6000"
"Kansas","54.3000"
"Maryland","54.2000"
"New Mexico","53.4000"
"New Jersey","52.7000"
"West Virginia","51.8000"
"Illinois","51.8000"
"Indiana","51.7000"
"Ohio","50.7000"
"Rhode Island","50.1000"
"Nevada","49.9000"
"Connecticut","49"
"Pennsylvania","48.8000"
"Nebraska","48.8000"
"Utah","48.6000"
"Oregon","48.4000"
"Washington","48.3000"
"Massachusetts","47.9000"
"Iowa","47.8000"
"New York","45.4000"
"South Dakota","45.2000"
"Colorado","45.1000"
"Michigan","44.4000"
"Idaho","44.4000"
"New Hampshire","43.8000"
"Wisconsin","43.1000"
"Vermont","42.9000"
"Montana","42.7000"
"Wyoming","42"
"Minnesota","41.2000"
"Maine","41"
"North Dakota","40.4000"
"Alaska","26.6000"
