"","year","plan_name","state","return_1yr","ava_return","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","mva_smooth","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","asset_valuation_method_for_gasb_reporting","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_nc_dollar","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"1",2001,"Alabama Employees' Retirement System (ERS)","Alabama","-0.0636",NA,"Entry Age Normal","1.002","8028471000","7236735000",NA,"8010123000",NA,"122483000","1",NA,NA,"Level Percent Open","-396621000","378196060","-1544000","-4578000",NA,"5-year smoothed market related value.","2408543000","132237949","0.0501","122483000",NA,"65159000","0.0455","1273000",NA,2004,NA,"0.08","0.08","12.0","0.045","-0.0044","254721000","0.1",NA,NA,NA,"Plan covers state and local employees","-18348000",NA
"2",2002,"Alabama Employees' Retirement System (ERS)","Alabama","-0.0929",NA,"Entry Age Normal","0.954","8100846000","6424435000",NA,"8493469000",NA,"123887000","1",NA,NA,"Level Percent Open","-414821000","411556940","-8388000","-5582000",NA,"5-year smoothed market related value.","2547775000","151220345","0.0501","123887000",NA,"64421000","0.0632","2091000",NA,2005,NA,"0.08","0.08","18.0","0.045","0.0145","275108000","0.0988",NA,NA,NA,"Plan covers state and local employees","392623000",NA
"3",2003,"Alabama Employees' Retirement System (ERS)","Alabama","0.1648",NA,"Entry Age Normal","0.911","8312500000","7222812000",NA,"9124279000",NA,"154218000","1",NA,NA,"Level Percent Open","-448083000","454751060","-820000","-5843000",NA,"5-year smoothed market related value.","2677025000","159763000","0.0501","154218000",NA,"80193000","0.0523","2521000",NA,2006,NA,"0.08",NA,"19.0",NA,"0.0151","316502000","0.0873",NA,NA,NA,"Plan covers state and local employees","811779000",NA
"4",2004,"Alabama Employees' Retirement System (ERS)","Alabama","0.1006",NA,"Entry Age Normal","0.897","8563945000","7795598000",NA,"9546478000",NA,"170713000","1",NA,NA,"Level Percent Open","-480064000","497945220","-3798000","-5892000",NA,"5-year smoothed market related value.","2702393000","147817502","0.0501","170713000",NA,"80193000","0.0767","1575000",NA,2007,NA,"0.08","0.08","19.0","0.045","0.028","339261000","0.0988",NA,NA,NA,"Plan covers state and local employees","982533000",NA
"5",2005,"Alabama Employees' Retirement System (ERS)","Alabama","0.1098",NA,"Entry Age Normal","0.84","8935358000","8464515000",NA,"10634976000",NA,"195846000","1",NA,NA,"Level Percent Open","-518308000","539462060","35204000","-6898000",NA,"5-year smoothed market related value.","2982122000","180813209","0.0501","195846000",NA,"88770000","0.0922","2185000",NA,2008,NA,"0.08","0.08","19.0","0.045","0.0441","356159000","0.0982",NA,NA,NA,"Plan covers state and local employees","1699618000",NA
"6",2006,"Alabama Employees' Retirement System (ERS)","Alabama","0.0837",NA,"Entry Age Normal","0.811","9287531000","9001867000",NA,"11457564000",NA,"241750000","1",NA,NA,"Level Percent Open","-583573000","615907940","30960000","-7850000",NA,"5-year smoothed market related value.","3070146000","172928822","0.0501","241750000",NA,"101881000","0.1021","2982000",NA,2009,NA,"0.08","0.08","19.0","0.045","0.0516","428876000","0.1006",NA,NA,NA,"Plan covers state and local employees","2170033000",NA
"7",2007,"Alabama Employees' Retirement System (ERS)","Alabama","0.1792",NA,"Entry Age Normal","0.79","9770897000","10401218000",NA,"12370342000",NA,"277254000","1",NA,NA,"Level Percent Open","-647490000","650343500","31829000","-7813000",NA,"5-year smoothed market related value.","3389156000","184139935","0.0501","277254000",NA,"144165000","0.1052","2406000",NA,2010,NA,"0.08","0.08","19.0","0.045","0.0551","461394000","0.1002",NA,NA,NA,"Plan covers state and local employees","2599445000",NA
"8",2008,"Alabama Employees' Retirement System (ERS)","Alabama","-0.1521",NA,"Entry Age Normal","0.757","9905766000","8647705000",NA,"13078687000",NA,"329339000","1",NA,NA,"Level Percent Open","-686854000","690034940","31387000","-9892000",NA,"5-year smoothed market related value.","3553330000","191654891","0.0501","329339000",NA,"171248000","0.1127","1869000",NA,2011,NA,"0.08","0.08","19.0","0.045","0.0623","520993000","0.1005",NA,NA,NA,"Plan covers state and local employees","3172921000",NA
"9",2009,"Alabama Employees' Retirement System (ERS)","Alabama","-0.1003",NA,"Entry Age Normal","0.722","9928104000","7679005000",NA,"13756176000",NA,"451139000","1",NA,NA,"Level Percent Open","-728070000","734599880","-14000","-9413000",NA,"5-year smoothed market related value.","3620243000","210280305","0.0501","451139000",NA,"176163000","0.0824","1835000",NA,2012,NA,"0.08","0.08","27.0","0.045","0.0441","661420000","0.0884",NA,NA,NA,"Plan covers state and local employees","3828072000",NA
"10",2010,"Alabama Employees' Retirement System (ERS)","Alabama","0.0847",NA,"Entry Age Normal","0.682","9739331000","8176732000",NA,"14284119000",NA,"377898000","1",NA,NA,"Level Percent Open","-759528000","778328440","24874000","-10334000",NA,"5-year smoothed market related value.","3619670000","196757338","0.0502","377898000",NA,"147593000","0.0795","1790000",NA,2013,NA,"0.08","0.08","29.0","0.045","0.0491","574656000","0.0806",NA,NA,NA,"Plan covers state and local employees","4544788000",NA
"11",2011,"Alabama Employees' Retirement System (ERS)","Alabama","0.0221",NA,"Entry Age Normal","0.658","9456158000","8130435000",NA,"14366796000",NA,"394998000","1",NA,NA,"Level Percent Open","-819755000","827273750","36798000","-10002000",NA,"5-year smoothed market related value.","3540681000","195709253","0.0501","394998000",NA,"183221000","0.1126","2012000",NA,2014,NA,"0.08","0.08","29.0","0.0325","0.0849","590707000","0.0778",NA,NA,NA,"Plan covers state and local employees","4910638000","0.0325"
"12",2012,"Alabama Employees' Retirement System (ERS)","Alabama","0.1801",NA,"Entry Age Normal","0.657","9116551000","9188696000","9116551305","13884995000",NA,"317520000","1",NA,NA,"Level Percent Open","-889210000","864958380","40746000","-10616000",NA,"Market Value.","3252003000","216870614","0.0726","317520000",NA,"118646000","0.1198","1937000",NA,2015,NA,"0.08","0.08","28.0","0.0325","0.096","534390000","0.0964",NA,NA,NA,"Plan covers state and local employees","4768444000","0.0325"
"13",2013,"Alabama Employees' Retirement System (ERS)","Alabama","0.146",NA,"Entry Age Normal","0.657","9546459000","10091940000","10012966727","14536600000",NA,"338819000","1",NA,NA,"Level Percent Closed","-940312000","898211880","44837000","-9767000",NA,"Market Value.","3400596000","223646119","0.0748","338819000",NA,"125363000","0.1222","1823000",NA,2016,NA,"0.08","0.08","28.0","0.0325","0.0971","562465000","0.0999",NA,NA,NA,"Plan covers state and local employees","4990141000","0.0325"
"14",2014,"Alabama Employees' Retirement System (ERS)","Alabama","0.1202",NA,"Entry Age Normal","0.669","10134581000","10883952000","10803109967","15138294000","15525291000","379163000","0.0",NA,NA,"Level Percent Closed","-996414000","930223380","47937000","-9612000",NA,"5-year market related value.","3444341000","226014854","0.0746","391181000",NA,"144736000","0.1195","2881000",NA,2017,NA,"0.08","0.08","28.0","0.0325","0.0943","617197000","0.0998",NA,NA,NA,"Plan covers state and local employees","5003713000","0.0325"
"15",2015,"Alabama Employees' Retirement System (ERS)","Alabama","0.0105",NA,"Entry Age Normal","0.673","10589258000","10551904000","10485255746","15723720000","15960732000","411087000","1.0",NA,NA,"Level Percent Closed","-1069539000","966982560","51024000","-11136000",NA,"5-year market related value.","3488017000","229253696","0.0744","410932000",NA,"136977000","0.117","3487000",NA,2018,NA,"0.08","0.08","28.0","0.0325","0.0921","640186000","0.0993",NA,NA,NA,"Plan covers state and local employees","5134462000","0.0325"
