year,50_75perc,median,25_50perc,25_perc,75perc,50perc,25perc
2020,0,0.74189747,0,0.74189747,0.74,0.74,0.74
2021,0.06020337,0.73947723,0.05670919,0.68276803,0.80,0.74,0.68
2022,0.08242024,0.73562064,0.08069486,0.65492577,0.82,0.74,0.65
2023,0.1058295,0.72993536,0.09694849,0.63298686,0.84,0.73,0.63
2024,0.12279725,0.7244969,0.10916544,0.61533146,0.85,0.72,0.62
2025,0.13802044,0.71871795,0.11874734,0.59997061,0.86,0.72,0.60
2026,0.15015906,0.71419471,0.12925759,0.58493712,0.86,0.71,0.58
2027,0.16119029,0.71073324,0.13782814,0.5729051,0.87,0.71,0.57
2028,0.17249554,0.70683412,0.14119254,0.56564158,0.88,0.71,0.57
2029,0.18503193,0.70003772,0.14333841,0.5566993,0.89,0.70,0.56
2030,0.19130154,0.69954434,0.14714395,0.55240039,0.89,0.70,0.55
2031,0.19430914,0.69806035,0.15302003,0.54504032,0.89,0.70,0.55
2032,0.19834826,0.69819931,0.1597167,0.53848262,0.90,0.70,0.54
2033,0.2072047,0.69200981,0.15666216,0.53534766,0.90,0.69,0.54
2034,0.21373877,0.69403387,0.15907187,0.53496199,0.91,0.69,0.53
2035,0.22038024,0.69367657,0.16131927,0.5323573,0.91,0.69,0.53
2036,0.22727895,0.69579086,0.16433317,0.53145769,0.92,0.70,0.53
2037,0.23343673,0.69577742,0.16420354,0.53157387,0.93,0.70,0.53
2038,0.23482599,0.69848356,0.16902923,0.52945433,0.93,0.70,0.53
2039,0.2427837,0.70159316,0.17205419,0.52953898,0.94,0.70,0.53
2040,0.24705989,0.70451198,0.1698766,0.53463538,0.95,0.70,0.53
2041,0.25534948,0.70970703,0.17163292,0.53807411,0.97,0.71,0.54
2042,0.25870687,0.71678775,0.17742011,0.53936764,0.98,0.72,0.54
2043,0.2667457,0.72243427,0.17960944,0.54282483,0.99,0.72,0.54
2044,0.26928227,0.73162176,0.18371825,0.54790351,1.00,0.73,0.55
2045,0.27652743,0.74175103,0.18591007,0.55584096,1.02,0.74,0.56
2046,0.28222194,0.75146629,0.18859961,0.56286668,1.03,0.75,0.56
2047,0.29110803,0.76532462,0.19358751,0.57173711,1.06,0.77,0.57
2048,0.29827089,0.77627482,0.19286702,0.5834078,1.07,0.78,0.58
2049,0.30746936,0.7935078,0.20585439,0.58765341,1.10,0.79,0.59
2050,0.31330423,0.80946916,0.20857362,0.60089554,1.12,0.81,0.60
