year,plan_name,return_1yr,arr,mva,aal
2021,Alabama Employees' Retirement System (ERS),0.2218,0.077,15479476000,0
2021,Alabama Teachers' Retirement System (TRS),0.2262,0.0745,30561930000,40106806000
2021,Alaska Public Employees Retirement System,0.2762,0.0738,11912309000,0
2021,Alaska Teachers Retirement System,0.2765,0.0738,6731481000,0
2021,Arizona Corrections Officers Retirement Plan,0.278,0.073,3218601000,4351506188
2021,Arizona Public Safety Personnel Retirement System,0.267,0.073,11556792000,19306428824
2021,Arizona State Retirement System,0.261,0.075,48202223000,61451420595
2021,Arkansas Public Employees Retirement System,0.309,0.0715,11185453706,11834000000
2021,California State Teachers Retirement System,0.271,0.07,3.10293E+11,3.32082E+11
2021,CalPERS - California Public Employees Retirement Fund,0.213,0.0725,4.77323E+11,0
2021,"Colorado PERA, Local Division Fund",0.1603,0.0725,5844117000,5745010400
2021,"Colorado PERA, School Division Fund",0.1603,0.0725,34654724000,46336787650
2021,"Colorado PERA, State Division Fund",0.1603,0.0725,19985566000,27159846058
2021,Connecticut Municipal Employees Retirement Plan,0.2485,0.07,3367803000,4077803537
2021,Connecticut State Employees Retirement System,0.2439,0.069,17080640000,38344444000
2021,Connecticut Teachers Retirement System,0.2428,0.069,23117088000,0
2021,Delaware State Employees’ Pension Plan,0.381,0.07,12851073000,11700492000
2021,Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund,0.2551,0.07,1116041400,1650353000
2021,Florida Retirement System,0.3038,0.068,2.02082E+11,2.09636E+11
2021,Georgia Employees’ Retirement System,0.2933,0.072,16547905000,20085695000
2021,Georgia Teachers Retirement System,0.2919,0.069,1.02147E+11,1.15704E+11
2021,Idaho Public Employee Retirement System,0.2749,0.063,21819751148,21840700000
2021,Illinois Municipal Employees Retirement System,0.167,0.0725,57700053775,50927600000
2021,Illinois State Employees Retirement System,0.258,0.0675,23883338000,51828480000
2021,Illinois State University Retirement System,0.2304,0.065,23768313260,48898480000
2021,Illinois Teachers Retirement System,0.2521,0.07,64212505020,1.38914E+11
2021,Indiana Public Employees Retirement Fund,0.2526,0.0625,16247310000,17563157462
2021,Indiana State Teachers Retirement Fund,0.255,0.0625,13062246000,21855892000
2021,Iowa Municipal Fire and Police Retirement System,0.3078,0.075,3293610268,3518184403
2021,Iowa Public Employees' Retirement System,0.2963,0.07,42889875682,42544648750
2021,Kansas Public Employees' Retirement System,0.263,0.0775,25254596000,0
2021,Kentucky County Employees Retirement System,0.215,0.0525,11605088000,20524364000
2021,Kentucky Employees Retirement System,0.272,0.06,3959942000,17616615000
2021,Kentucky Teachers' Retirement System,0.296,0.071,25935779206,39581704000
2021,Louisiana Municipal Police Retirement System,0.261,0.0675,2816973727,3301558629
2021,Louisiana School Employees’ Retirement System,0.2745,0.069,2243057149,2718374040
2021,Louisiana State Employees Retirement System,0.3303,0.074,14716344767,20220320534
2021,Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts,0.2676,0.065,3751152623,3719016414
2021,Maine Public Employees Retirement System (PERS) Defined Benefit Plan,0.265,0.0675,14900650000,16392351000
2021,Maryland State Employees’ Retirement System,0.2662,0.068,22577490000,29033676000
2021,Maryland Teachers’ Retirement System,0.2651,0.068,41120782000,47635355000
2021,Massachusetts State Employees’ Retirement System,0.3001,0.07,36039472000,45704296000
2021,Massachusetts Teachers’ Retirement System,0.3001,0.07,37088124000,58830000000
2021,Michigan Public School Employees Retirement System,0.215,0.0525,63332155000,95903000000
2021,Michigan State Employees Retirement System,0.273,0.067,14481588000,0
2021,Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund,0.303,0.075,28587653000,29215560000
2021,Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund,0.303,0.075,11398101000,10793845000
2021,Minnesota State Retirement System (MSRS) General State Employees Retirement Plan,0.303,0.075,17440051000,15646401000
2021,Minnesota Teachers Retirement Association,0.303,0.075,28361757000,30814967000
2021,Missouri Local Government Employees Retirement System,0.153,0.07,10284984970,9182065489
2021,Missouri MoDOT & Patrol Employees’ Retirement System,0.2999,0.065,3003925228,4117753237
2021,Missouri Public Education Employee Retirement System,0.287,0.073,6453162000,6560854000
2021,Missouri Public School Retirement System,0.287,0.073,50620519084,52834297000
2021,Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan,0.278,0.0765,7211389030,8534629000
2021,Montana Teachers' Retirement System,0.2771,0.075,5116849000,6463247000
2021,Mosers State Employees Pension Plan,0.264,0.0695,9519930080,15111000000
2021,Nebraska School Retirement System,0.3,0.073,15692556258,14279493188
2021,Nevada Public Employees Retirement System,0.273,0.075,45039540000,52105528000
2021,New Hampshire Retirement System,0.294,0.0675,11523879000,15991215000
2021,New Jersey Public Employees Retirement System,0.285,0.07,35707804636,65883123352
2021,New Jersey Teachers’ Pension & Annuity Fund,0.2827,0.07,26533142515,70520215914
2021,New Mexico Educational Retirement Board,0.3,0.07,16361524358,23265253046
2021,New Mexico Public Employees Retirement Association,0.2647,0.0725,17813948280,23042469829
2021,New York State & Local Employees Retirement System,0.3355,0.068,2.20581E+11,0
2021,New York State & Local Police & Fire Retirement System,0.3355,0.068,39500500000,0
2021,New York State Teachers' Retirement System,0.29,0.071,1.48148E+11,0
2021,North Dakota Public Employees Retirement System,0.27,0.07,3949722700,4991542997
2021,North Dakota Teachers' Fund for Retirement,0.2654,0.0725,3282404800,4336060000
2021,Ohio Public Employees Retirement System (OPERS) Traditional Defined Benefit Pension Plan,0.152,0.072,1.0921E+11,0
2021,Ohio School Employees Retirement System,0.268,0.07,17561236000,21097000000
2021,Ohio State Teachers Retirement System,0.2904,0.07,89379038000,1.04591E+11
2021,Oklahoma Police Pension and Retirement System,0.3,0.075,3289959000,2810243000
2021,Oklahoma Public Employees Retirement System,0.278,0.065,12525883234,11046240166
2021,Oklahoma Teachers Retirement System,0.333,0.07,22052000000,27033525365
2021,Oregon Public Employees Retirement System,0.2554,0.072,84331320000,95300400000
2021,Pennsylvania Public School Employees' Retirement System,0.2458,0.0725,71967352000,0
2021,Police & Firemens Retirement System Of New Jersey,0.272,0.07,33543253487,47508789731
2021,Public Employees Retirement System of Nevada - Police and Firefighters Plan,0.273,0.0725,13418944000,15472254000
2021,Public Employees' Retirement System of Mississippi,0.322,0.0755,35216597000,50204296000
2021,Rhode Island Employees Retirement System,0.27,0.07,7728867805,11899619473
2021,Rhode Island Municipal Employees Retirement System,0.272,0.07,2079550597,2197915369
2021,South Carolina Police Officers Retirement System,0.299,0.07,6111672000,8611516000
2021,South Carolina Retirement Systems,0.299,0.07,33490306000,54997995000
2021,South Dakota Retirement System,0.2201,0.065,14632199039,13865352058
2021,Teachers’ Retirement System of Louisiana,0.3432,0.074,27724128255,33058826858
2021,"Tennessee Consolidated Retirement System, Public Employee Retirement System",0.256,0.0725,0,0
2021,"Tennessee Consolidated Retirement System, Teachers Pension Plan",0.25797,0.0725,31660892000,42078288000
2021,Texas Employees Retirement System,0.2551,0.07,33608244434,44183687166
2021,Texas Municipal Retirement System,0.13,0.0675,38593014384,40081541518
2021,Texas Teacher Retirement System,0.248,0.0725,2.01807E+11,2.28247E+11
