id,display_name,state
7,Alabama Clerks & Registrars Supernumerary Fund,Alabama
1,Alabama Employees' Retirement System (ERS),Alabama
3,Alabama Judicial Retirement Fund (JRF),Alabama
4,Alabama Peace Officers Annuity Benefit Fund,Alabama
5,Alabama Port Authority Hourly Pension Plan,Alabama
6,Alabama Port Authority Terminal Railway Plan,Alabama
2,Alabama Teachers' Retirement System (TRS),Alabama
9,Anniston Police and Firemen Retirement Fund,Alabama
2076,Birmingham Firemens and Police Supplement Pension System,Alabama
14,Birmingham Limited Fire Retirement System,Alabama
13,Birmingham Limited Police Retirement System,Alabama
15,Birmingham Police Pension & Relief Fund,Alabama
10,Birmingham Retirement & Relief System,Alabama
11,Birmingham Retirement System (Health Department),Alabama
12,Birmingham Unclassified Employees Pension,Alabama
23,Birmingham-Jefferson Transit Authority Pension,Alabama
3400053,Dothan Employees Pension Retirement System,Alabama
16,Florence Employees Retirement Plan,Alabama
3386403,Gadsden Police and Firemens Pension Fund,Alabama
8,Jefferson County General Retirement System,Alabama
3395222,Library Board Employees Pension and Relief Fund,Alabama
17,Mobile Police & Fire Retirement Plan,Alabama
18,Mobile Transit Workers Pension Plan,Alabama
3356262,Montgomery County Retirement System Fund,Alabama
19,Montgomery Employees Retirement System,Alabama
3395240,Phenix City Police and Firemens Pension System,Alabama
22,Southeast Alabama Gas District Pension Plan,Alabama
20,Tuscaloosa Fireman and Policemens Pension and Relief Plan,Alabama
21,Tuscaloosa Police & Fire Supplemental Retirement Plan,Alabama
27,Alaska Judicial Retirement System,Alaska
26,Alaska National Guard and Alaska Naval Militia Retirement System,Alaska
25,Alaska Public Employees Retirement System (PERS),Alaska
24,Alaska Teachers Retirement System (TRS),Alaska
29,Anchorage Police and Firemen Retirement Plan,Alaska
28,South Peninsula Hospital Employees Pension Plan,Alaska
5047,Agua Fria Union High School District #216 - ASRS Plan,Arizona
5048,Aguila Elementary School District #63 - ASRS Plan,Arizona
5050,Ajo Unified School District - ASRS Plan,Arizona
5054,Alpine Elementary School District #7 - ASRS Plan,Arizona
5055,Altar Valley School District #51 - ASRS Plan,Arizona
5058,Amphitheater Unified School District #10 - ASRS Plan,Arizona
5059,Antelope Union High School District #50 - ASRS Plan,Arizona
5860,Apache County Sheriff's Dept  - PSPRS Plan,Arizona
5062,Apache Elementary School District #42 - ASRS Plan,Arizona
5833,Apache Junction Police Department  - PSPRS Plan,Arizona
5063,Apache Junction Unified School District #43 - ASRS Plan,Arizona
5064,Apache Junction Water District - ASRS Plan,Arizona
5087,Arizona City Sanitary District - ASRS Plan,Arizona
33,Arizona Corrections Officers Retirement Plan (CORP),Arizona
32,Arizona Elected Officials Retirement Plan,Arizona
5135,Arizona Independent Redistricting Commission - ASRS Plan,Arizona
30,Arizona Public Safety Personnel Retirement System (PSPRS),Arizona
6060,Arizona Public Safety Personnel Retirement System - Tier 3,Arizona
31,Arizona State Retirement System (ASRS),Arizona
5194,Arlington Elementary School District #47 - ASRS Plan,Arizona
5197,Ash Creek Elementary School District #53 - ASRS Plan,Arizona
5198,Ash Fork Joint Unified School District #31 - ASRS Plan,Arizona
5200,Avondale Elementary School District #44 - ASRS Plan,Arizona
5824,Avondale Fire Department  - PSPRS Plan,Arizona
38,Avondale Fire Department Relief & Pension,Arizona
5897,Avondale Police Department  - PSPRS Plan,Arizona
5202,Avra Valley Fire District - ASRS Plan,Arizona
5204,Bagdad Unified School District - ASRS Plan,Arizona
5208,Balsz Elementary School District #31 - ASRS Plan,Arizona
5989,Benson Fire Department  - PSPRS Plan,Arizona
5804,Benson Police Department  - PSPRS Plan,Arizona
5212,Benson Unified School District #9 - ASRS Plan,Arizona
34,Benson Volunteer Fire Department Relief & Pension,Arizona
5214,Bicentennial Union High School District #76 - ASRS Plan,Arizona
5769,Bisbee Fire Department  - PSPRS Plan,Arizona
5805,Bisbee Police Department  - PSPRS Plan,Arizona
5215,Bisbee Unified School District #2 - ASRS Plan,Arizona
84,Black Canyon Fire District Relief & Pension,Arizona
5218,Blue Elementary School District #22 - ASRS Plan,Arizona
5219,Blue Ridge Unified School District #32 - ASRS Plan,Arizona
5221,Bonita Elementary School District #16 - ASRS Plan,Arizona
5222,Bouse Elementary School District #26 - ASRS Plan,Arizona
5223,Bowie Unified School District #14 - ASRS Plan,Arizona
5224,Buckeye Elementary School District #33 - ASRS Plan,Arizona
5938,Buckeye Fire Department  - PSPRS Plan,Arizona
39,Buckeye Fire Department Relief & Pension,Arizona
5865,Buckeye Police Department  - PSPRS Plan,Arizona
5225,Buckeye Union High School District #201 - ASRS Plan,Arizona
5226,Buckeye Valley Fire District - ASRS Plan,Arizona
5227,Buckeye Water Conservation & Drainage District - ASRS Plan,Arizona
5229,Bullhead City Elementary School District #15 - ASRS Plan,Arizona
5811,Bullhead City Fire Department  - PSPRS Plan,Arizona
5230,Bullhead City Fire District - ASRS Plan,Arizona
5873,Bullhead City Police Department  - PSPRS Plan,Arizona
5231,Camp Verde Fire District - ASRS Plan,Arizona
5232,Camp Verde Unified School District #28 - ASRS Plan,Arizona
5233,"Camp Verde, Town Of - ASRS Plan",Arizona
5234,Canon Elementary School District #50 - ASRS Plan,Arizona
66,Canyon Fire District Relief & Pension,Arizona
46,Carefree Fire Department Relief & Pension,Arizona
5238,Cartwright Elementary School District #83 - ASRS Plan,Arizona
5239,Casa Grande Elementary School District #4 - ASRS Plan,Arizona
5770,Casa Grande Fire Department  - PSPRS Plan,Arizona
53,Casa Grande Fire Department Relief & Pension,Arizona
5771,Casa Grande Police Department  - PSPRS Plan,Arizona
5240,Casa Grande Union High School District #82 - ASRS Plan,Arizona
5242,Catalina Foothills School District #16 - ASRS Plan,Arizona
5243,Cave Creek Unified School District No. 93 - ASRS Plan,Arizona
5244,"Cave Creek, Town of - ASRS Plan",Arizona
5245,CAVIAT School District - ASRS Plan,Arizona
5246,Cedar USD # 25 - ASRS Plan,Arizona
5249,Central Arizona Fire and Medical Authority - ASRS Plan,Arizona
5250,Central Arizona Irrigation and Drainage - ASRS Plan,Arizona
86,Central Yavapai Fire District Relief & Pension,Arizona
5772,Chandler Fire Department  - PSPRS Plan,Arizona
40,Chandler Fire Department Relief & Pension,Arizona
5773,Chandler Police Department  - PSPRS Plan,Arizona
5255,Chandler Unified School District #80 - ASRS Plan,Arizona
5258,Chevelon Butte Elementary School District #5 - ASRS Plan,Arizona
5259,Chinle Unified School District #24 - ASRS Plan,Arizona
5260,Chino Valley Fire District - ASRS Plan,Arizona
5868,Chino Valley Police Department  - PSPRS Plan,Arizona
5261,Chino Valley Unified School District #51 - ASRS Plan,Arizona
64,Christopher Creek/Kohl's Fire District Relief & Pension,Arizona
5263,Christopher-Kohl's Fire District - ASRS Plan,Arizona
5266,Clarkdale Fire District - ASRS Plan,Arizona
5864,Clarkdale Police Department  - PSPRS Plan,Arizona
5268,Clarkdale-Jerome Elementary School District #3 - ASRS Plan,Arizona
3404533,Clay Springs-Pinedale Fire Department Pension,Arizona
5774,Clifton Fire Department  - PSPRS Plan,Arizona
5844,Clifton Police Department  - PSPRS Plan,Arizona
5269,Clifton Unified School District #3 - ASRS Plan,Arizona
5813,Cochise County Sheriff's Dept  - PSPRS Plan,Arizona
5275,Cochise Elementary School District #26 - ASRS Plan,Arizona
5276,Cochise Technology District #1 - ASRS Plan,Arizona
5279,Coconino County Regional Accommodation School District - ASRS Plan,Arizona
5826,Coconino County Sheriff's Dept  - PSPRS Plan,Arizona
5280,Colorado City Unified School District #14 - ASRS Plan,Arizona
5281,Colorado River Sewage System Joint Venture - ASRS Plan,Arizona
5282,Colorado River Union High School District #2 - ASRS Plan,Arizona
5283,Concho Elementary School District #6 - ASRS Plan,Arizona
62,Concho Volunteer Fire District Relief & Pension,Arizona
5284,Congress Elementary School District #17 - ASRS Plan,Arizona
5285,Continental School District - ASRS Plan,Arizona
5983,Coolidge Fire Department  - PSPRS Plan,Arizona
5845,Coolidge Police Department  - PSPRS Plan,Arizona
5286,Coolidge Unified School District 21 - ASRS Plan,Arizona
6044,Copper Canyon Fire & Medical District - ASRS Plan,Arizona
5288,Copper Canyon Fire and Medical Authority - ASRS Plan,Arizona
5861,Cottonwood Fire Department  - PSPRS Plan,Arizona
58,Cottonwood Fire Department Relief & Pension,Arizona
5830,Cottonwood Police Department  - PSPRS Plan,Arizona
5290,Cottonwood-Oak Creek Elementary School District - ASRS Plan,Arizona
5292,County Of Santa Cruz Elementary School District - ASRS Plan,Arizona
5294,Crane Elementary School District #13 - ASRS Plan,Arizona
5295,Creighton Elementary School District #14 - ASRS Plan,Arizona
5296,Crown King Elementary School District #41 - ASRS Plan,Arizona
85,Crown King Fire District Relief & Pension,Arizona
5301,Deer Valley Unified School District #97 - ASRS Plan,Arizona
5990,Desert Hills Fire Department  - PSPRS Plan,Arizona
5306,Diamond Star Fire District - ASRS Plan,Arizona
5308,Double Adobe Elementary School District #45 - ASRS Plan,Arizona
5776,Douglas Fire Department  - PSPRS Plan,Arizona
5777,Douglas Police Department  - PSPRS Plan,Arizona
5309,Douglas Unified School District #27 - ASRS Plan,Arizona
5311,Drexel Heights Fire District - ASRS Plan,Arizona
5312,Duncan Unified School District #2 - ASRS Plan,Arizona
5313,"Duncan, Town of - ASRS Plan",Arizona
5314,Dysart Unified School District 89 - ASRS Plan,Arizona
5849,Eagar Police Department  - PSPRS Plan,Arizona
5886,El Mirage Fire Department  - PSPRS Plan,Arizona
5853,El Mirage Police Department  - PSPRS Plan,Arizona
5336,Elfrida Elementary School District #12 - ASRS Plan,Arizona
5337,Elfrida Fire District - ASRS Plan,Arizona
5338,Eloy Elementary School District #11 - ASRS Plan,Arizona
80,Eloy Fire District Relief & Pension,Arizona
5841,Eloy Police Department  - PSPRS Plan,Arizona
5778,Flagstaff Fire Department  - PSPRS Plan,Arizona
5779,Flagstaff Police Department  - PSPRS Plan,Arizona
5346,Flagstaff Unified School District #1 - ASRS Plan,Arizona
5928,Florence Fire Department  - PSPRS Plan,Arizona
5851,Florence Police Department  - PSPRS Plan,Arizona
5348,Florence Unified School District No. 1 - ASRS Plan,Arizona
5350,Flowing Wells Irrigation District - ASRS Plan,Arizona
