"year","state","plan_name","statutory_pct","er_proj_adec_pct","ee_nc_pct","total_amortization_payment_pct","total_nc_pct"
2019,"Michigan","Michigan State Employees Retirement System",NA,"1.44426","0.04","1.39196","0.0923"
2018,"Michigan","Michigan State Employees Retirement System",NA,"1.21131","0.04","1.15841","0.0929"
2017,"Michigan","Michigan State Employees Retirement System",NA,"0.93421","0.04","0.88031","0.0939"
2004,"Alaska","Alaska Teachers Retirement System",NA,"0.91427","0.0868","0.8743","0.12675999999999998"
2016,"Michigan","Michigan State Employees Retirement System",NA,"0.84388","0.04","0.8006800000000001","0.0832"
2019,"Kentucky","Kentucky Employees Retirement System",NA,"0.76976","0.05284","0.69672","0.12587"
2015,"Michigan","Michigan State Employees Retirement System",NA,"0.70949","0.04","0.67569","0.0738"
2018,"Kentucky","Kentucky Employees Retirement System",NA,"0.70645","0.052910000000000006","0.63262","0.12674000000000002"
2013,"Alaska","Alaska Teachers Retirement System",NA,"0.6966899999999999","0.0622","0.63689","0.122"
2017,"Kentucky","Kentucky Employees Retirement System",NA,"0.6751699999999999","0.052879999999999996","0.59909","0.12896"
2014,"Michigan","Michigan State Employees Retirement System",NA,"0.6550199999999999","0.04","0.62062","0.0744"
2012,"Alaska","Alaska Teachers Retirement System",NA,"0.62011","0.0648","0.56021","0.1247"
2013,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.5863","0.0021","0.4597","0.1287"
2013,"Michigan","Michigan State Employees Retirement System",NA,"0.58287","0.04","0.55067","0.0722"
2014,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.58","0.0041","0.4573","0.1268"
2015,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.58","0.0061","0.4599","0.1262"
2016,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.58","0.0077","0.4628","0.1249"
2017,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.58","0.0094","0.4654","0.124"
2018,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.58","0.011","0.4745","0.1165"
2019,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.58","0.0128","0.4787","0.1141"
2020,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.58","0.0144","0.4818","0.1126"
2020,"Illinois","Illinois State Employees Retirement System",NA,"0.54606","0.056479999999999995","0.40855","0.19399"
2012,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.5444","0.0007","0.4197","0.1254"
2016,"Illinois","Illinois State Employees Retirement System","0.52095","0.5432899999999999","0.05943","0.38493","0.21779"
2018,"Illinois","Illinois State Employees Retirement System","0.5215","0.53991","0.05729","0.3908","0.2064"
2012,"Michigan","Michigan State Employees Retirement System",NA,"0.53179","0.04","0.49888999999999994","0.0729"
2017,"Arizona","Arizona Public Safety Personnel Retirement System",NA,"0.5193","0.0765","0.3724","0.2234"
2016,"Arizona","Arizona Public Safety Personnel Retirement System",NA,"0.5184","0.0765","0.3568","0.2381"
2018,"Connecticut","Connecticut State Employees Retirement System",NA,"0.5173","0.0383","0.4486","0.107"
2017,"Illinois","Illinois State Employees Retirement System","0.49593","0.5162","0.05437","0.35681999999999997","0.21374"
2019,"Arizona","Arizona Public Safety Personnel Retirement System",NA,"0.5132","0.07769","0.37037","0.22053000000000003"
2018,"Arizona","Arizona Public Safety Personnel Retirement System",NA,"0.5118699999999999","0.07708","0.36654000000000003","0.22241"
2019,"Illinois","Illinois State Employees Retirement System","0.52604","0.51039","0.05412","0.37562","0.18889"
2019,"Connecticut","Connecticut State Employees Retirement System",NA,"0.4901","0.0416","0.4331","0.0986"
2011,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.4827","0.0002","0.3685","0.1144"
2010,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.4786","0.0","0.3599","0.1187"
2014,"Alaska","Alaska Teachers Retirement System",NA,"0.47426","0.0592","0.40386","0.1296"
2019,"Alaska","Alaska Public Employees Retirement System",NA,"0.47148","0.06964","0.39342","0.1477"
